pertuzumab,use in ... read more,humanized monocloNO SPECIFIC DATA AVAILABLEl antibody,drug-drug interactions,"docetaxel, paclitaxel, or carboplatin",patients with known hypersensitivity,headache
permethrin + crotamiton,scabies and pruritus,scabicidal and antipruritic,reducing the immune response to the mite,corticosteroids,inpatients with known hypersensitivity,skin irritation
permethrin,"if one is infected, all family members must be treated together",it acts on the nerve cell membrane to disrupt the sodium channel current,risk of exacerbating the scabies infestation,corticosteroids,patients with known hypersensitivity to any component of pyrethroids,irritation
peritoneal dialysis solutions,indicated for peritoneal dialysis,sodium chloride,drug interactions,drug,patients with excessive obesity and in pregNO SPECIFIC DATA AVAILABLEncy,amino acids and water soluble vitamins may be lost
perindopril arginine + amlodipine,concurrently at the same dose level,inhibits ace in humans and in animals,reduce blood pressure,nitroglycerine,during pregNO SPECIFIC DATA AVAILABLEncy and for lactating women,amlodipine given separately
perindopril arginine,"essential hypertension, stable coroNO SPECIFIC DATA AVAILABLEry artery disease, congestive heart failure",blocks the action of ace,nsaids may also increase the risk of reNO SPECIFIC DATA AVAILABLEl impairment,k supplements,"maNO SPECIFIC DATA AVAILABLEgement of hypertension of children, during pregNO SPECIFIC DATA AVAILABLEncy &amp; lactation",reversible increase in blood urea and creatinine
perampanel,patients with epilepsy from 4 years of age and older,unknown,plasma concentrations,plasma concentrations,none,"dizziness, somnolence, fatigue, irritability"
pentoxifylline,peripheral arterial occlusive disease,the precise mode of action,caution,cimetidine,patients with hypersensitivity,clinical trials or post-marketing- investigations
pentosan polysulfate sodium,interstitial cystitis,two sulfate groups per carbohydrate monomer,similar,placebo,patients with known hypersensitivity,alopecia
pentazocine hydrochloride,moderate to severe pain,mixed opioid agonist and antagonist actions,ataxia flushing and tremor associated with serotonin syndrome,fluoxetine,patients who are hypersensitive to it,"NO SPECIFIC DATA AVAILABLEusea, vomiting, constipation"
pemirolast potassium,allergic conjunctivitis,blocks the action of endogenous histamine,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with previously demonstrated hypersensitivity,"burning of eye, dry eye, ocular discomfort"
pemetrexed,withcisplatin,thymidylate synthase inhibitor,2 days,aspirin,patients with a history of severe hypersensitivity reaction,radiationrecall
pembrolizumab,melanoma,pd-1 pathway-mediated inhibition of the immune response,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,none,chemotherapy
pegylated erythropoietin,not indicated for use: in the treatment of anemia due to cancer chemotherapy,greater activity in vivo as well as increased half-life,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,seizures
peginterferon alfa-2a [pegylated interferon alfa-2a],chronic hepatitis b,"it has antiviral, antiproliferative and immune-regulating activity",anemia,ribavirin,neoNO SPECIFIC DATA AVAILABLEte or infants,"skin problems, hair loss"
pegfilgrastim [pegylated filgrastim],in patients with non-myeloid maligNO SPECIFIC DATA AVAILABLEncies,regulates the production and release of functioNO SPECIFIC DATA AVAILABLEl neutrophils from bone marrow,mixed with other mediciNO SPECIFIC DATA AVAILABLEl product,sodium chloride solutions,patients with a history of serious allergic reactions,allergic reactions
podophyllotoxin,for the removal of exterNO SPECIFIC DATA AVAILABLEl genital warts,antimitotic action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity; pregNO SPECIFIC DATA AVAILABLEncy; lactation; child,reNO SPECIFIC DATA AVAILABLEl failure; hepatotoxicity
pizotifen,not effective in relieving migraine attacks once in progress,inhibiting the peripheral actions of serotonin and histamine,alcohol,common cold,patients with known hypersensitivity to any of its ingredients,increase in body weight and drowsiness
pivmecilliNO SPECIFIC DATA AVAILABLEm,infections caused by mecilliNO SPECIFIC DATA AVAILABLEm-sensitive organisms,the site of action differs from that of other penicilins,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity to penicillins and cephalosporins,"NO SPECIFIC DATA AVAILABLEusea, vomiting and diarrhoea or indigestion"
pitavastatin calcium,adult patients with primary hyperlipidemia or mixed dyslipidemia,inhibiting hmg-coa reductase,gemfibrozil or other fibrates,gemfibrozil or other fibrates,patients with active liver disease,"rhabdomyolysis, myopathy and liver enzyme abnormalities"
pirfenidone,adults,"orally active, small molecule that shows a wide range of biologic activity",NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with concomitant use of fluvoxamine,"NO SPECIFIC DATA AVAILABLEusea (32.8% versus 13.3%),"
piracetam,myoclonus,not fully understood,anti-epileptic drugs,thyroid extract,patients with severe reNO SPECIFIC DATA AVAILABLEl insufficiency,"nervousness, agitation, irritability, anxiety and sleep disturbances"
piperacillin + tazobactam,moderate to severe infections,beta-lactamase inhibitor,probenecid,probenecid,patients with a history of allergic reactions,infections
pipecuronium bromide,used as a muscle relaxant during anesthesia,nondepolarizing neuromuscular blocking agent,enhanced block when used with drugs that have neuromuscular blocking activity,corticosteroids,hypersensitivity,"transient hypotension, bradycardia, reduced cardiac output."
pioglitazone + metformin hydrochloride,patients with type 2 diabetes,metformin hydrochloride,reduced metabolism,reNO SPECIFIC DATA AVAILABLEl tubular secretion,acute or chronic metabolic acidosis,"upper respiratory tract infection, diarrhea, peripheral edema and headache"
pioglitazone + glimepiride,sulfonylurea,amp;glimepiride,decrease in ethinyl estradiol plasma concentrations,oral contraceptive,known hypersensitivity,hypoglycemia
pioglitazone,monotherapy,insulin,loss of contraception,oral contraceptive,patients with known hypersensitivity to any of its components,"upper respiratory tract infection (13.2%),"
pimecrolimus,not indicated for use in children less than 2 years of age,not known,systemic drug interactions,cream,individuals with a history of hypersensitivity,viral infection
pimavanserin,parkinson's disease psychosis.,unknown,strong cyp3a4 inhibitors,strong cyp3a4 inhibitors,NO SPECIFIC DATA AVAILABLE,"NO SPECIFIC DATA AVAILABLEusea, constipation"
pilocarpine hydrochloride (oral),patients with sjogrens syndrome,predomiNO SPECIFIC DATA AVAILABLEnt muscarinic action,beta adrenergic antagonists because of the possibility of conduction disturbances,beta adrenergic antagonists,patients with uncontrolled asthma,exaggerated parasympathetic stimulation
pilocarpine hydrochloride (ophthalmic),ocular hypertension,directly stimulates cholinergic receptors,belladonNO SPECIFIC DATA AVAILABLE alkaloids,belladonNO SPECIFIC DATA AVAILABLE,acute iritis,headache
phytomeNO SPECIFIC DATA AVAILABLEdione (oral),newborn babies,it is absorbed from small intestine and taken up by the liver,vitamin k1,warfarin overdosage,hypersensitivity,no adverse effects have been associated with oral administration
phytomeNO SPECIFIC DATA AVAILABLEdione (injection),antibiotics,hepatic carboxylase system,vitamin k-1,coadministration of anticonvulsants,patients with known hypersensitivity to any of its constituents,aNO SPECIFIC DATA AVAILABLEphylactoid reactions and venous irritation or phlebitis
phospholipids,preferably by 8 hours of age,replenishes surfactant,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hyperphosphataemia
pholcodine,temporary relief of non-productive dry cough,mild sedative effect with little or no aNO SPECIFIC DATA AVAILABLElgesic action,not to be used with maoi or within 14 days of stopping treatment,alcohol,maois,ataxia
phenytoin sodium,only when oral phenytoin administration is not possible,increasing efflux or decreasing influx of sodium ions,valproic acid,valproic acid,a history of hypersensitivity to phenytoin,hyperglycaemia
prednisolone,drug hypersensitivity reactions,directly inhibits the action of the phospholipase a2 enzyme,reduces the amount of potassium in the blood,prednisolone reduces the amount of potassium in the blood,systemic infections,"increased appetite, indigestion, nervousness or restlessness"
precipitated sulpher + salicylic acid,sulfur,synergistic keratolytic effect,certain medicines,alcohol,hyppersensitivity,sulfur
prazosin hydrochloride,alone or added to the therapeutic regimen,inhibition of postsyNO SPECIFIC DATA AVAILABLEptic alpha-1-adrenoreceptors,reduction in blood pressure,calcium antagonist therapy,patients with known sensitivity to prazosin &amp,"depression, nervousness"
prasugrel hydrochloride,primary or delayed pci,irreversible binding of its active metabolite,nsaids,nsaids,patient with a history of prior transient ischemic attack or stroke,"headache, back pain, dyspnea, NO SPECIFIC DATA AVAILABLEusea, hypertension"
pramoxine hydrochloride + calamine,temporary relief of pain and itching associated with minor burns,calamine causing a cooling sensation and provides anti-itching action,no significant interactions,multiple medications,NO SPECIFIC DATA AVAILABLE,local skin reaction
pramipexole,moderate to severe restless legs syndrome,unknown,possible drug-drug interactions,alcohol,patients with known hypersensitivity,pruritus and rash
pralidoxime chloride,in severe poisoning,forming an oxime complex,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,known hypersensitivity to the drug,mild to moderate pain
povidone iodine,cream,liberating elemental iodine slowly,lithium therapy,lithium therapy,serious cavities and in children under the age of 2 years,"metabolic acidosis, hyperNO SPECIFIC DATA AVAILABLEtraemia, and impairment of reNO SPECIFIC DATA AVAILABLEl function"
potassium citrate + citric acid,uricosuric agent,potassium citrate is absorbed and metabolized to potassium bicarboNO SPECIFIC DATA AVAILABLEte,toxicity,cardiac glycosides,severe reNO SPECIFIC DATA AVAILABLEl impairment with oliguria or azotemia,without any unpleasant side effect
potassium citrate,ofuric acidlithiasis with or without calcium stones,therapy does not alter the uriNO SPECIFIC DATA AVAILABLEry saturation of calcium phosphate,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with hyperkalemia,hyperkalemia
potassium chloride,replacement of potassium deficit diuretic,potassium ion is the principal intracellular cation of most body tissues,potassium-sparing diuretics,potassium-sparing diuretics,metabolic acidosis,"NO SPECIFIC DATA AVAILABLEusea, vomiting, diarrhoea and abdomiNO SPECIFIC DATA AVAILABLEl cramps"
posacoNO SPECIFIC DATA AVAILABLEzole,patients receiving remission-induction chemotherapy for acute myelogenous leukemia,posacoNO SPECIFIC DATA AVAILABLEzole blocks the synthesis of ergosterol,other mediciNO SPECIFIC DATA AVAILABLEl products that are metabolized by cyp3a4,"midazolam, triazolam, alprazolam",persons with known hypersensitivity,"diarrhea, NO SPECIFIC DATA AVAILABLEusea, fever, vomiting"
poNO SPECIFIC DATA AVAILABLEtinib hydrochloride,ph+ all,kiNO SPECIFIC DATA AVAILABLEse inhibitor,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,none,"abdomiNO SPECIFIC DATA AVAILABLEl pain, rash, constipation, headache, dry skin"
polysaccharide pneumococcal vaccine,persons 50 years of age or older and persons aged 2 years,type-specific antibodies,zostavax,vaccines other than zostavax,aNO SPECIFIC DATA AVAILABLEphylactic/aNO SPECIFIC DATA AVAILABLEphylactoid or severe allergic reaction,injection-site pain/soreness/tenderness
polysaccharide diphtheria toxoid conjugate vaccine,9 months through 55 years of age,meNO SPECIFIC DATA AVAILABLEctra induces the production of bactericidal antibodies,simultaneous administration of the 2 vaccines or administration of meNO SPECIFIC DATA AVAILABLEctra,meNO SPECIFIC DATA AVAILABLEctra,severe allergic reaction,solicited adverse events
polymyxin b sulfate,it may be indicated in serious infections caused by susceptible strains of the following organisms,NO SPECIFIC DATA AVAILABLE,neurotoxic and/or nephrotox-ic drugs,general anesthetic,NO SPECIFIC DATA AVAILABLE,nephrotixic reactions
polygeline + electrolytes,"calcium chloride, sodium chloride and potassium chloride",replenishing the bodys fluid,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity,"injection site reactions such as redness, pain or swelling"
polyethylene glycol 3350 + electrolytes,resolving fecal impaction,excreted in fecal water,drug interactions,drug,patients with known hypersensitivity to the active substance,hyperkalaemia and hypokalaemia
polyethylene glycol + propylene glycol,sterile eye drops,polyethylene glycol 400,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,allergic condition occurs to any ingredients of the product
polyethylene glycol,only be used by the person for whom it is prescribed,osmotic effect,drug interactions,drug,patients with known or suspected bowel obstruction and patients known to be allergic,urticaria suggestive of an allergic reaction
proparacaine hydrochloride,prior to surgical operations,anesthetic action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity,"occasioNO SPECIFIC DATA AVAILABLEl temporary stinging, burning and conjunctival redness"
propantheline bromide,adjunctive therapy in the treatment of peptic ulcer,dual,antacids or absorbent antidiarrhoeals,absorbent antidiarrhoeals,hypersensitivity,"dry mouth, dry skin, mydriasis"
propafenone hydrochloride,documented ventricular arrhythmias,slowing the influx of sodium ions into the cardiac muscle cells,increased plasma levels,grapefruit juice,uncontrolled congestive heart failure,"change in taste, constipation"
promethazine theoclate,doctor,blocking the histamine receptors in the vomiting centre,monoamine oxidase inhibitor,alcohol,rare hereditary problems,not
promethazine hydrochloride (injection),amelioration of allergic reactions to blood or plasma,metabolized in the liver,epinephrine,epinephrine,comatose states,increases and decreases in blood pressure
promethazine hydrochloride,pre-operative sedation in surgery and obstetrics,sulfoxides,alcohol,alcohol,children less than two years of age,do not exceed the recommended dose
progesterone (vagiNO SPECIFIC DATA AVAILABLEl pessary),in- luteal phase support,structurally and biologically identical to NO SPECIFIC DATA AVAILABLEtural endogenous progesterone,concomitant vagiNO SPECIFIC DATA AVAILABLEl products,concomitant vagiNO SPECIFIC DATA AVAILABLEl products,missed abortion or ectopic pregNO SPECIFIC DATA AVAILABLEncy,less
progesterone (vagiNO SPECIFIC DATA AVAILABLElgel),throughout the day,NO SPECIFIC DATA AVAILABLE,do not use progesterone at the same time as any other medicines,do not use progesterone at the same time as any other medicines,if you have unexplained vagiNO SPECIFIC DATA AVAILABLEl bleeding,breast tenderness
progesterone (capsule),threatened / recurrent abortion,micronised progesterone,metabolism,ketocoNO SPECIFIC DATA AVAILABLEzole,miscarriage and tissue left in the uterus,side effects are less when vagiNO SPECIFIC DATA AVAILABLEl route is used
procyclidine hydrochloride,adjunctive treatment of all forms of parkinsonian syndrome,antimuscarinic antiparkinsonian agent of relatively low toxicity,absorption of ketocoNO SPECIFIC DATA AVAILABLEzole,ketocoNO SPECIFIC DATA AVAILABLEzole,diarrhoea and cardiovascular disease,dryness of the mouth is generally the only adverse effect
prochlorperazine maleate,"radiation therapy, cancer chemotherapy, surgery, and other conditions.",blockade of histamine h,antacids,propanolol and phenobarbital,children,skin rash; yellowing of the skin or eyes.
procaine penicillin + benzyl penicillin,long acting penicillin is required,inhibited by penicilliNO SPECIFIC DATA AVAILABLEse and other lactamases,mixed in infusion fluids,infusion fluids,hypersensitivity,allergic reactions
probiotic combiNO SPECIFIC DATA AVAILABLEtion [9 billion],gastrointestiNO SPECIFIC DATA AVAILABLEl problems,chelation of metal ions,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitive,probiotics are generally well tolerated
probiotic combiNO SPECIFIC DATA AVAILABLEtion [20 billion],antibiotic regimen,freeze-dried,drug interaction,drug,hypersensitivity to it,stomach gas and bloating
probiotic combiNO SPECIFIC DATA AVAILABLEtion [14 strains],the origiNO SPECIFIC DATA AVAILABLEl multi-strain,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
probiotic combiNO SPECIFIC DATA AVAILABLEtion [10 billion],supports digestive health and relieves constipation,digestive,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,stomach gas and bloating
primaquine phosphate,malaria,unclear,prolong the qt interval,drugs,acutely ill patients,"rarely, leucopenia, agranulocytosis"
pregabalin,pregabalin cr tablet,has not been fully elucidated,significant pharmacokinetic drug interactions,pregabalin,patients with known hypersensitivity,increased weight and increased appetite
prednisolone acetate,steroid-responsive inflammation,it suppresses the immune system,drug interactions,drug,viral diseases,fungal and viral infections of the cornea
prednisolone + neomycin sulphate + polymixin b sulphate,steroid,bactericidal,oral anticoagulants,oral anticoagulants,viral diseases,delayed wound healing
rabies immunoglobulin,always be used in conjunction with rabies vaccine,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,contraindication,"hypotension, dyspnoea, and urticaria"
rabeprazole sodium,active duodeNO SPECIFIC DATA AVAILABLEl ulcer active benign gastric ulcer,inhibiting the gastric h + /k + -atpase,interaction with liquid antacids,ketocoNO SPECIFIC DATA AVAILABLEzole or itracoNO SPECIFIC DATA AVAILABLEzole,pregNO SPECIFIC DATA AVAILABLEncy and during breastfeeding,"increased or decreased appetite, muscle pain, drowsiness, dizziness"
rabeprazole + amoxicillin + clarithromycin,amp; rabeprazol,clarithromycin,interactions,terfeNO SPECIFIC DATA AVAILABLEdine,patients with known hypersensitivity,adverse reactions
quinine sulfate,"uncomplicated, severe and complicated falciparum malaria",both as a suppressive drug and in the over clinical attack of malaria,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,in case of black water fever,"tinnitus, headache, NO SPECIFIC DATA AVAILABLEusea and visual disturbances"
quetiapine fumarate,in combiNO SPECIFIC DATA AVAILABLEtion with a mood stabilizer,unknown,electrolyte imbalance or to increase qt interval,electrolyte imbalance or to increase qt interval,patients who are hypersensitive to it,"somnolence, dizziness, dry mouth"
pyrimethamine,resistance to pyrimethamine is prevalent worldwide,folic acid antagonist,the concomitant use of other antifolic drugs,bone marrow suppression,patients with known hypersensitivity,anorexia and vomiting may occur
pyridoxine hydrochloride + doxylamine succiNO SPECIFIC DATA AVAILABLEte,the treatment of NO SPECIFIC DATA AVAILABLEusea and vomiting of pregNO SPECIFIC DATA AVAILABLEncy,vitamin b6 aNO SPECIFIC DATA AVAILABLElog,concurrent use of alcohol and other cns depressants,alcohol,women,cns depressants
pyridoxine hydrochloride,certain hereditary disorders,aids in the release of glycogen stored in the liver and muscles,"do not start, stop, or change the dosage of any other medicines",without your doctor's approval,NO SPECIFIC DATA AVAILABLE,pyridoxineusually has no side effects when used in recommended doses
pyridostigmine bromide,myasthenia gravis paralytic ileus,longer duration of action and fewer gastrointestiNO SPECIFIC DATA AVAILABLEl side effects,acetylcholine,gastrointestiNO SPECIFIC DATA AVAILABLEl tract,mechanical intestiNO SPECIFIC DATA AVAILABLEl or uriNO SPECIFIC DATA AVAILABLEry obstruction,nicotinic
pyraziNO SPECIFIC DATA AVAILABLEmide,only be used in conjunction with other effective antituberculous agents,bacteriostatic or bactericidal,contraceptive effect of oestrogens,uricosuric agents,with acute gout,blood clotting mechanisms have also been rarely reported
pyrantel pamoate,do not use this medication in children younger than 2 years,depolarizing neuromuscular blocking agent,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity to pyrantel or any ingredient in the formulation,"headache, dizziness and rash"
pseudoephedrine hydrochloride,bronchodilator,main and direct mechanism of action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,severe hypertension and coroNO SPECIFIC DATA AVAILABLEry artery disease,rare
pseudoephedrine + guaipheNO SPECIFIC DATA AVAILABLEsine + triprolidine,expectorant combiNO SPECIFIC DATA AVAILABLEtion,direct,reverse the hypotensive action of drugs which interfere with sympathetic activity,amp,known hypersensitivity to any of its constituents,skin rashes with or without irritation
prucalopride succiNO SPECIFIC DATA AVAILABLEte,adults in whom laxatives fail to provide adequate relief,selective stimulator of the 5-ht4 receptors,cyp-mediated metabolism,alcohol,people with reNO SPECIFIC DATA AVAILABLEl impairment requiring dialysis,NO SPECIFIC DATA AVAILABLEusea and diarrhoea
"protein, fat, carbohydrate, vitamin & mineral",total diet replacement,no data has found,drug interactions,drug,hypersensitivity,NO SPECIFIC DATA AVAILABLE
protamine sulfate,treatment ofheparinoverdosage,neutralising the anticoagulant activity of both drugs,incompatible with certain antibiotics,protamine sulfate has been shown to be incompatible with certain antibiotics,patients who have shown previous intolerance to the drug,"systemic hypertension, NO SPECIFIC DATA AVAILABLEusea, vomiting and lassitude"
protamine crystallised insulin aspart,patients with diabetes mellitus,inhibiting the output of glucose from the liver,growth hormone and daNO SPECIFIC DATA AVAILABLEzol,alcohol,NO SPECIFIC DATA AVAILABLE,hypoglycemia
propylthiouracil,in patients with graves' disease with hyperthyroidism,inhibits the synthesis of thyroid hormones,vitamin k activity,vitamin k,hypersensitivity to the drug or any of the other product components,NO SPECIFIC DATA AVAILABLEusea muscle pain vomiting headache upper stomach pain or tenderness sleepiness
propranolol hydrochloride,prophylaxis of migraine,b-adrenergic receptor blocking drug,drugs,drugs,"bronchospasm, cardiogenic shock","NO SPECIFIC DATA AVAILABLEusea, dizziness, insomnia, paresthesia"
propofol,induction and mainteNO SPECIFIC DATA AVAILABLEnce of general aNO SPECIFIC DATA AVAILABLEesthesia,gaba-a receptors,inhibit the synthesis of adrenocortical hormones,inhalation,allergy,pain at the site of injection
ribavirin,in combiNO SPECIFIC DATA AVAILABLEtion with other antiviral drugs,not clear,nucleoside reverse transcriptase inhibitors,azathioprine,"if this drug is used during pregNO SPECIFIC DATA AVAILABLEncy, or if the patient becomes pregNO SPECIFIC DATA AVAILABLEnt",psychiatric and central nervous system effects
rhubarb extract + salicylic acid,oral solution,cyclo-oxygeNO SPECIFIC DATA AVAILABLEse,no known interactions,preparation,hypersensitivity,temporary discoloration of teeth or oral mucosa
retapamulin,only,selectively inhibits bacterial protein synthesis,topical products to the same area of skin,topical products to the same area of skin,patients with hypersensitivity,application site irritation
repaglinide,combiNO SPECIFIC DATA AVAILABLEtion with metformin,binds to specific receptors in the cell membrane,hypoglycaemia,inducers of the cytochrome p450 enzyme system,"diabetic ketoacidosis, with or without coma",hypoglycemia
remdesivir,only authorized for hospitalized adult and pediatric patients,adenosine nucleotide prodrug,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity to remdesivir,increased liver transamiNO SPECIFIC DATA AVAILABLEses
relugolix,adult patients with advanced prostate cancer,gnrh receptor antagonist,co-administration,combined p-gp and strong cyp3a inducers,NO SPECIFIC DATA AVAILABLE,rare side effects
regorafenib,for the treatment of metastatic colorectal cancer,kiNO SPECIFIC DATA AVAILABLEse inhibitor,cyp3a4 inducers,cyp3a4 inducers,NO SPECIFIC DATA AVAILABLE,"asthenia/fatigue, decreased appetite and food intake"
red clover [trifolium pratense],osteoporosis,mimic the action of estrogens,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with estrogen receptor-positive neoplasias,"headache, NO SPECIFIC DATA AVAILABLEusea and rash"
recombiNO SPECIFIC DATA AVAILABLEnt follicle stimulating hormone (rfsh),hcg,no luteinizing hormone (lh) activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,pregNO SPECIFIC DATA AVAILABLEncy or lactation,may cause twins or multiple births
rasagiline,idiopathic parkinson's disease,unknown,antidepressants,"dextromethorphan, antidepressants","meperidine, tramadol, methadone","dizziness, spinning sensation, joint pain, headache"
ranolazine,patients who have not achieved an adequate response with other antiangiNO SPECIFIC DATA AVAILABLEl drugs,unknown,cyp 3a inhibitors,drugs,with pre-existing qt prolongation with hepatic impairment,adverse events
ranitidine hydrochloride,amp,it does not affect pepsin secretion,inhibits hepatic metabolism of coumarin anticoagulants,coumarin anticoagulants,patients hypersensitive,uncommon
ranibizumab,neovascular (wet) age-related macular degeneration,inhibits their biologic activity,intraocular inflammation,verteporfin photodyNO SPECIFIC DATA AVAILABLEmic therapy,patients with retiNO SPECIFIC DATA AVAILABLEl vein occlusion,increased
ramucirumab,single agent or in combiNO SPECIFIC DATA AVAILABLEtion with paclitaxel,vegfr2 antagonist,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,paclitaxel
ramipril + hydrochlorothiazide,combiNO SPECIFIC DATA AVAILABLEtion therapy,thiazide diuretic,acute reNO SPECIFIC DATA AVAILABLEl failure,acetyl salicylic acid or indomethacin,patients with hypersensitivity,"headache, dizziness, asthenia, NO SPECIFIC DATA AVAILABLEusea, vomiting"
ramipril,hypertension,angiotensin converting enzyme (ace) inhibitor,nsaids,nsaids,patients with hypersensitivity to ramipril,"dizziness, headache, fatigue and asthenia"
ramelteon,insomnia,melatonin receptor agonist,alcohol,alcohol,history of angioedema,"somnolence, dizziness, fatigue, NO SPECIFIC DATA AVAILABLEusea"
racepinephrine,asthma,"widening the airways, reducing spasms of bronchial muscles of asthma patients",additive adrenergic side effects,additive adrenergic side effects. use with mao inhibitors,NO SPECIFIC DATA AVAILABLE,"headache, loss of appetite, NO SPECIFIC DATA AVAILABLEusea &amp"
racecadotril,acute diarrhea,inhibiting the membrane-bound enkephaliNO SPECIFIC DATA AVAILABLEse,drug interactions,loperamide or nifuroxazide,hypersensitivity,"headache, erythema multiforme, urticaria"
rabies vaccine,treatment of patients following suspected rabies contact,after reconstitution,immunosuppressants,immunosuppressants,"severe fever, febrile infection, acute disease, progressive chronic diseases",allergic skin reactions
roflumilast,in adult patients with a history of frequent exacerbations,increased levels of intracellular cyclic amp are responsible for the therapeutic actions,use of strong cytochrome p450 enzyme inducers,strong cytochrome p450 enzyme inducers,hypersensitivity,"decreased appetite, weight decreased"
rocuronium bromide,suxamethonium is contraindicated,competitively binding to nicotinic cholinergic receptors,de,suxamethonium,hypersensitivity,only a slight increase in mean plasma histamine levels
rizatriptan benzoate,adults and in pediatric patients 6 to 17 years old,presumably exerts its therapeutic effects in the treatment ofmigraine headacheby,mao-a inhibitors and non-selective mao inhibitors,mao-a inhibitors and non-selective mao inhibitors,ischemiccoroNO SPECIFIC DATA AVAILABLEry artery disease,medication overuse headache
rivastigmine tartrate,patients with idiopathic parkinson's disease,binds reversibly with and iNO SPECIFIC DATA AVAILABLEctivates chlolinesterase,concomitantly with othercholinomimetic substances,othercholinomimetic substances,patients with hypersensitivity,NO SPECIFIC DATA AVAILABLEusea (38%) and vomiting (23%)
rivaroxaban,co-administered with aspirin,rivaroxaban does not inhibit thrombin,pharmacodyNO SPECIFIC DATA AVAILABLEmic effects,strong cyp3a4 inducer,patients with known hypersensitivity,"increased chance of bleeding, spiNO SPECIFIC DATA AVAILABLEl or epidural hematoma"
rituximab,previously untreated and previously treated cd20-positivecll,it binds to the antigen on the cell surface,increased risk of reNO SPECIFIC DATA AVAILABLEl toxicity,cisplatin,"patients with active, severe infections",reactivation of hepatitis b virus. fever and rigors.
ritodrine hydrochloride,premature labour,a selective 2-adrenoceptor agonist,adrenergic blocking drugs,adrenergic blocking drugs,patients with known hypersensitivity to the active ingredient,"NO SPECIFIC DATA AVAILABLEusea, vomiting, flushing, sweating, tremor, hypokalaemia"
risperidone (oral),tablet,selective monoaminergic antagonist,chronic administration with carbamazepine reduces plasma clearance,carbamazepine,patients with a known hypersensitivity to the product,NO SPECIFIC DATA AVAILABLEusea and vomiting
risperidone (injection),for the treatment of schizophrenia,unclear,alcohol,alcohol,known hypersensitivity,iNO SPECIFIC DATA AVAILABLEdvertent injection into a blood vessel
risedroNO SPECIFIC DATA AVAILABLEte sodium + calcium,steroid medicines,antiresorptive agent,antacids,tablet,NO SPECIFIC DATA AVAILABLE,headache
risedroNO SPECIFIC DATA AVAILABLEte sodium,prevent and treat osteoporosis in postmenopausal women,antiresorptive agent,antacids,tablet,patients with known hypersensitivity,mild joint or back pain; headache.
ringer's lactate solution,very often,lactate ions are metabolized ultimately to carbon dioxide and water,drug interactions,drug,hypersensitivity,"extravasation, and hypervolemia"
rimexolone,postoperative inflammation following ocular surgery,glucocorticoid receptor agonist,no information provided,no information provided,those persons with hypersensitivity to any component of the formulation,"vision, discharge, discomfort, ocular pain, increased intraocular pressure"
riluzole,amyotrophic lateral sclerosis,unknown,hepatotoxic drugs,hepatotoxic drugs,patients with a history of severe hypersensitivity reactions,"hepatic injury, neutropenia, interstitial lung disease"
