,generic_name,use_cases,mechanism_of_action,drug_interactions,food_interactions,contraindications,side_effects
1380,pyridoxine hydrochloride,certain hereditary disorders,aids in the release of glycogen stored in the liver and muscles,"do not start, stop, or change the dosage of any other medicines",without your doctor's approval,NO SPECIFIC DATA AVAILABLE,pyridoxineusually has no side effects when used in recommended doses
1381,pyridostigmine bromide,myasthenia gravis paralytic ileus,longer duration of action and fewer gastrointestinal side effects,acetylcholine,gastrointestinal tract,mechanical intestinal or urinary obstruction,nicotinic
1382,pyrazinamide,only be used in conjunction with other effective antituberculous agents,bacteriostatic or bactericidal,contraceptive effect of oestrogens,uricosuric agents,with acute gout,blood clotting mechanisms have also been rarely reported
1383,pyrantel pamoate,do not use this medication in children younger than 2 years,depolarizing neuromuscular blocking agent,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity to pyrantel or any ingredient in the formulation,"headache, dizziness and rash"
1384,pseudoephedrine hydrochloride,bronchodilator,main and direct mechanism of action,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,severe hypertension and coronary artery disease,rare
1385,pseudoephedrine + guaiphenasine + triprolidine,expectorant combination,direct,reverse the hypotensive action of drugs which interfere with sympathetic activity,amp,known hypersensitivity to any of its constituents,skin rashes with or without irritation
1386,prucalopride succinate,adults in whom laxatives fail to provide adequate relief,selective stimulator of the 5-ht4 receptors,cyp-mediated metabolism,alcohol,people with renal impairment requiring dialysis,nausea and diarrhoea
1387,"protein, fat, carbohydrate, vitamin & mineral",total diet replacement,no data has found,drug interactions,drug,hypersensitivity,NO SPECIFIC DATA AVAILABLE
1388,protamine sulfate,treatment ofheparinoverdosage,neutralising the anticoagulant activity of both drugs,incompatible with certain antibiotics,protamine sulfate has been shown to be incompatible with certain antibiotics,patients who have shown previous intolerance to the drug,"systemic hypertension, nausea, vomiting and lassitude"
1389,protamine crystallised insulin aspart,patients with diabetes mellitus,inhibiting the output of glucose from the liver,growth hormone and danazol,alcohol,NO SPECIFIC DATA AVAILABLE,hypoglycemia
1390,propylthiouracil,in patients with graves' disease with hyperthyroidism,inhibits the synthesis of thyroid hormones,vitamin k activity,vitamin k,hypersensitivity to the drug or any of the other product components,nausea muscle pain vomiting headache upper stomach pain or tenderness sleepiness
1391,propranolol hydrochloride,prophylaxis of migraine,b-adrenergic receptor blocking drug,drugs,drugs,"bronchospasm, cardiogenic shock","nausea, dizziness, insomnia, paresthesia"
1392,propofol,induction and maintenance of general anaesthesia,gaba-a receptors,inhibit the synthesis of adrenocortical hormones,inhalation,allergy,pain at the site of injection
1393,ribavirin,in combination with other antiviral drugs,not clear,nucleoside reverse transcriptase inhibitors,azathioprine,"if this drug is used during pregnancy, or if the patient becomes pregnant",psychiatric and central nervous system effects
1394,rhubarb extract + salicylic acid,oral solution,cyclo-oxygenase,no known interactions,preparation,hypersensitivity,temporary discoloration of teeth or oral mucosa
1395,retapamulin,only,selectively inhibits bacterial protein synthesis,topical products to the same area of skin,topical products to the same area of skin,patients with hypersensitivity,application site irritation
1396,repaglinide,combination with metformin,binds to specific receptors in the cell membrane,hypoglycaemia,inducers of the cytochrome p450 enzyme system,"diabetic ketoacidosis, with or without coma",hypoglycemia
1397,remdesivir,only authorized for hospitalized adult and pediatric patients,adenosine nucleotide prodrug,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with known hypersensitivity to remdesivir,increased liver transaminases
1398,relugolix,adult patients with advanced prostate cancer,gnrh receptor antagonist,co-administration,combined p-gp and strong cyp3a inducers,NO SPECIFIC DATA AVAILABLE,rare side effects
1399,regorafenib,for the treatment of metastatic colorectal cancer,kinase inhibitor,cyp3a4 inducers,cyp3a4 inducers,NO SPECIFIC DATA AVAILABLE>,"asthenia/fatigue, decreased appetite and food intake"
1400,red clover [trifolium pratense],osteoporosis,mimic the action of estrogens,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with estrogen receptor-positive neoplasias,"headache, nausea and rash"
1401,recombinant follicle stimulating hormone (rfsh),hcg,no luteinizing hormone (lh) activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,pregnancy or lactation,may cause twins or multiple births
1402,rasagiline,idiopathic parkinson's disease,unknown,antidepressants,"dextromethorphan, antidepressants","meperidine, tramadol, methadone","dizziness, spinning sensation, joint pain, headache"
1403,ranolazine,patients who have not achieved an adequate response with other antianginal drugs,unknown,cyp 3a inhibitors,drugs,with pre-existing qt prolongation with hepatic impairment,adverse events
1404,ranitidine hydrochloride,amp,it does not affect pepsin secretion,inhibits hepatic metabolism of coumarin anticoagulants,coumarin anticoagulants,patients hypersensitive,uncommon
1405,ranibizumab,neovascular (wet) age-related macular degeneration,inhibits their biologic activity,intraocular inflammation,verteporfin photodynamic therapy,patients with retinal vein occlusion,increased
1406,ramucirumab,single agent or in combination with paclitaxel,vegfr2 antagonist,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,paclitaxel
1407,ramipril + hydrochlorothiazide,combination therapy,thiazide diuretic,acute renal failure,acetyl salicylic acid or indomethacin,patients with hypersensitivity,"headache, dizziness, asthenia, nausea, vomiting"
1408,ramipril,hypertension,angiotensin converting enzyme (ace) inhibitor,nsaids,nsaids,patients with hypersensitivity to ramipril,"dizziness, headache, fatigue and asthenia"
1409,ramelteon,insomnia,melatonin receptor agonist,alcohol,alcohol,history of angioedema,"somnolence, dizziness, fatigue, nausea"
1410,racepinephrine,asthma,"widening the airways, reducing spasms of bronchial muscles of asthma patients",additive adrenergic side effects,additive adrenergic side effects. use with mao inhibitors,NO SPECIFIC DATA AVAILABLE,"headache, loss of appetite, nausea &amp"
1411,racecadotril,acute diarrhea,inhibiting the membrane-bound enkephalinase,drug interactions,loperamide or nifuroxazide,hypersensitivity,"headache, erythema multiforme, urticaria"
1412,rabies vaccine,treatment of patients following suspected rabies contact,after reconstitution,immunosuppressants,immunosuppressants,"severe fever, febrile infection, acute disease, progressive chronic diseases",allergic skin reactions
1413,roflumilast,in adult patients with a history of frequent exacerbations,increased levels of intracellular cyclic amp are responsible for the therapeutic actions,use of strong cytochrome p450 enzyme inducers,strong cytochrome p450 enzyme inducers,hypersensitivity,"decreased appetite, weight decreased"
1414,rocuronium bromide,suxamethonium is contraindicated,competitively binding to nicotinic cholinergic receptors,de,suxamethonium,hypersensitivity,only a slight increase in mean plasma histamine levels
1415,rizatriptan benzoate,adults and in pediatric patients 6 to 17 years old,presumably exerts its therapeutic effects in the treatment ofmigraine headacheby,mao-a inhibitors and non-selective mao inhibitors,mao-a inhibitors and non-selective mao inhibitors,ischemiccoronary artery disease,medication overuse headache
1416,rivastigmine tartrate,patients with idiopathic parkinson's disease,binds reversibly with and inactivates chlolinesterase,concomitantly with othercholinomimetic substances,othercholinomimetic substances,patients with hypersensitivity,nausea (38%) and vomiting (23%)
1417,rivaroxaban,co-administered with aspirin,rivaroxaban does not inhibit thrombin,pharmacodynamic effects,strong cyp3a4 inducer,patients with known hypersensitivity,"increased chance of bleeding, spinal or epidural hematoma"
1418,rituximab,previously untreated and previously treated cd20-positivecll,it binds to the antigen on the cell surface,increased risk of renal toxicity,cisplatin,"patients with active, severe infections",reactivation of hepatitis b virus. fever and rigors.
1419,ritodrine hydrochloride,premature labour,a selective 2-adrenoceptor agonist,adrenergic blocking drugs,adrenergic blocking drugs,patients with known hypersensitivity to the active ingredient,"nausea, vomiting, flushing, sweating, tremor, hypokalaemia"
1420,risperidone (oral),tablet,selective monoaminergic antagonist,chronic administration with carbamazepine reduces plasma clearance,carbamazepine,patients with a known hypersensitivity to the product,nausea and vomiting
1421,risperidone (injection),for the treatment of schizophrenia,unclear,alcohol,alcohol,known hypersensitivity,inadvertent injection into a blood vessel
1422,risedronate sodium + calcium,steroid medicines,antiresorptive agent,antacids,tablet,NO SPECIFIC DATA AVAILABLE,headache
1423,risedronate sodium,prevent and treat osteoporosis in postmenopausal women,antiresorptive agent,antacids,tablet,patients with known hypersensitivity,mild joint or back pain; headache.
1424,ringer's lactate solution,very often,lactate ions are metabolized ultimately to carbon dioxide and water,drug interactions,drug,hypersensitivity,"extravasation, and hypervolemia"
1425,rimexolone,postoperative inflammation following ocular surgery,glucocorticoid receptor agonist,no information provided,no information provided,those persons with hypersensitivity to any component of the formulation,"vision, discharge, discomfort, ocular pain, increased intraocular pressure"
1426,riluzole,amyotrophic lateral sclerosis,unknown,hepatotoxic drugs,hepatotoxic drugs,patients with a history of severe hypersensitivity reactions,"hepatic injury, neutropenia, interstitial lung disease"
1427,rifaximin,noninvasive strains of e. coli,action on the beta-subunit of the dna-dependent rna polymerase,in patients with normal liver function,normal liver function,patients with a hypersensitivity,"flatulence, headache, abdominal pain"
1428,rifampicin + isoniazid + pyrazinamide + ethambutol,tuberculosis,bactericidal,decreases efficacy of gout therapy agents,decreases efficacy of gout therapy agents,hypersensitivity,ethambutol
1429,rifampicin + isoniazid + pyrazinamide,pulmonary tuberculosis,active bactericidal antituberculosis drugs,sulfinpyrazone,sulfinpyrazone,drug-induced hepatitis,unwanted effects chiefly occurring during intermittent therapy
1430,rifampicin + isoniazid,continuation phase treatment of tuberculosis,bactericidal anti-tb drugs,loss of glucose control,anticonvulsants,drug-induced hepatitis,unwanted effects chiefly occurring during intermittent therapy
1431,rifampicin,resistance to rifampin and the patient is not responding to therapy,blocking rna transcription,reduced absorption by antacids,antacids,patients with a history of hypersensitivity,"nausea, vomiting, anorexia, diarrhoea"
1432,riboflavin,vitamin b2,antioxidant activity,drying medications,drying medications,hypersensitivity,"diarrhea, an increase in urine, and other side effects"
1433,salmeterol + fluticasone propionate,long-acting 2-agonist and inhaled corticosteroid,respective mechanisms of action of both drugs,increased systemic exposure,co-administering known strong cyp3a4 inhibitors,patients with a history of hypersensitivity,"tremor, subjective palpitations and headache"
1434,salicylic acid + lactic acid,topical solution,lactic acid affects the keratinisation process,drug interactions,drug,not for prolonged use in high concentrations and on large areas of the body,"diarrhoea, vomiting"
1435,salicylic acid,mild to moderate acne blackheads and whiteheads redness &amp,slight antiseptic,interfere with treatment or increase skin irritation,topical preparations,patient known to be sensitive,severe skin irritation
1436,salbutamol + ipratropium (solution for inhalation),salbutamol sulfate &amp; ipratropium bromide,additive activity of this solution is due to the combined local effect on the lung,halogenated hydrocarbon anaesthetics,halogenated hydrocarbon anaesthetics,hypertrophic obstructive tachyarrhythmia,fine tremor of skeletal muscles and nervousness
1437,salbutamol + ipratropium (inhaler),regular aerosol bronchodilator,sulphate) and ipratropium bromide,risk of adverse cardiovascular effects,ipratropium bromide,patients hypersensitive,bromide
1438,salbutamol (inhaler),prophylactically before exertion or to prevent exercise-induced asthma,selective 2-adrenoceptor agonist,non-selective beta-blocking drugs,non-selective beta-blocking drugs,patients with a history of hypersensitivity,few
1439,salbutamol,asthma,predominant beta-2 adrenergic activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,palpitations and muscle cramps
1440,sacubitril + valsartan,this is usually administered in conjunction with other heart failure therapies,angiotensin receptor blocker,use with an arb,an arb,in patients withdiabetes,"hyperkalemia, cough, dizziness"
1441,saccharin sodium,high concentrations,NO SPECIFIC DATA AVAILABLE,drug,drug,NO SPECIFIC DATA AVAILABLE,headaches breathing difficulties diarrhoea and skin problems
1442,s-amlodipine besilate (levamlodipine),alone or in combination with other antihypertensive agents,anti-hypertensive isomer,blood pressure,simvastatin,patients with known sensitivity to amlodipine,"fatigue, nausea, abdominal pain and somnolence"
1443,ruxolitinib,adult and pediatric patients 12 years and older,a kinase inhibitor,fluconazole doses of greater than 200 mg daily,fluconazole,patients with a history of hypersensitivity,non-melanoma skin cancer
1444,rupatadine fumarate,seasonal &amp; perennial allergic rhinitis and urticaria,dual mode of action,"co-administered with statins, cns depressants or alcohol",grapefruit and grapefruit juice,hypersensitivity,"nausea, oropharyngeal pain, rash, thirst, vomiting"
1445,roxithromycin,infections caused by susceptible microorganisms- respiratory infections,inhibits protein synthesis,"antacids, h2- receptor antagonists and food",antacids,arterial spasm and severe ischaemia,"nausea, abdominal pain, diarrhoea and hypersensitivity rash"
1446,roxatidine,hydrochloric acid in the gastric juice,dose-dependent,protease inhibitors,protease inhibitors,"lactation, porphyria",may reduce leucocytes and/or thrombocytes
1447,roxadustat,adult patients with symptomatic anemia associated with chronic kidney disease,hypoxia-inducible factor prolyl hydroxylase inhibitor,drug-drug interaction,gemfbrozil,NO SPECIFIC DATA AVAILABLE,nausea
1448,rotavirus vaccine,4- to 10-week intervals,exact immunologic mechanism of action is not fully understood,ability to drive and use machines,oral polio vaccine,subjects with history of intussusception,no increase in the incidence or severity
1449,rosuvastatin,heterozygous hypercholesterolemia,selective and competitive inhibitor of hmg-coa reductase,gemfibrosil,gemfibrosil,if- known hypersensitivity to product components liver disease,"headache, myalgia, constipation"
1450,rosiglitazone + metformin hydrochloride,management of type 2 diabetes mellitus should include diet control,different mechanisms of action,interfering drug,interfering drug,renal disease or renal dysfunction,"metformin patients, and that were more common in metformin"
1451,ropinirole,moderate-to-severe primary restless legs syndrome,unknown,dopamine antagonists,dopamine antagonists such as neuroleptics,patients known to have a hypersensitivity to ropinirole,"fainting, drowsiness, hallucinations"
1452,sildenafil citrate,erectile dysfunction,enhances the effect of nitric oxide,fungal infections,organic nitrates,"patients who are using organic nitrates, either regularly or intermittently","headache, flushing, dyspepsia, nasal congestion"
1453,sevoflurane,only by persons trained in the administration of general anesthesia,volatile halogenated general anaesthetic,mac,mac,patients with known sensitivity,"nausea, vomiting, delirium, seizure"
1454,sevelamer hydrochloride,patients with end-stage renal disease,calcium-free and aluminium-free nonabsorbed polymer phosphate binder,drug,drug-drug,patients with known hypersensitivity,"dyspepsia, peritonitis"
1455,sevelamer carbonate,within the context of a multiple therapeutic approach,"non-absorbed phosphate binding crosslinked polymer, free of metal and calcium",consequences,levothyroxine,patients with known hypersensitivity,NO SPECIFIC DATA AVAILABLE
1456,sesame oil + cactus extract + beeswax,completely natural,ointment,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE>
1457,sertraline hydrochloride,sertraline,prolonged elimination half-life offers a benefit of once daily administration,adverse effect,atenolol,patients with moderate to severe hepatic impairment,"upset stomach, diarrhoea, constipation, vomiting"
1458,sertaconazole nitrate,interdigital tinea pedis and other topical fungal infections,14 alpha-lanosterol demethylase enzyme,drugs,cream,hypersensitivity,"contact dermatitis, dry skin, burning skin, application site skin tenderness"
1459,sennosides,hard stools,release of active anthraquinones into the colon by colonic bacteria,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"nausea or vomiting, undiagnosed abdominal pain, intestinal obstruction",reversible melanosis coli
1460,semaglutide (tablet),adults with type 2 diabetes mellitus,albumin binding,gastric emptying,gastric emptying,patients with multiple endocrine neoplasia syndrome type 2,"nausea, abdominal pain, diarrhea, decreased appetite"
1461,semaglutide (injection),not been studied in patients with a history of pancreatitis,albumin binding,gastric emptying,gastric,a personal or family history of medullary thyroid carcinoma,insulin
1462,selexipag,pulmonary arterial hypertension,hydrolyzed by carboxylesterase 1,inhibitors,amp,NO SPECIFIC DATA AVAILABLE,"nausea, diarrhoea, vomiting, headache"
1463,selegiline hydrochloride,three principal outcome measures employed,inhibition of mao-b,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity,NO SPECIFIC DATA AVAILABLE
1464,secukinumab,moderate to severe plaque psoriasis,human monoclonal antibody that targets il-17a cytokine,live vaccines,live vaccines,serious hypersensitivity reaction,"diarrhea, and upper respiratory tract infection"
1465,secnidazole,indicated,oral administration,disulfiram,disulfiram,hypersensitive to imidazole derivatives,rarely serious
1466,saxagliptin,limitation,saxagliptin inhibits dipeptidyl peptidase iv,glycaemic lowering effect,concomitant cyp3a4 inducers,"type 1 diabetes, diabetic ketoacidosis.","pancreatitis, heart failure, hypoglycemiawith"
1467,saquinavir mesylate,over the age of 16 years,binds to the protease active site,certain drugs or drug classes,certain drugs or drug classes,patients with clinically significant hypersensitivity,"nausea, vomiting, diarrhea"
1468,salvia officinalis,daily,deodorant,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,hypersensitivity,NO SPECIFIC DATA AVAILABLE
1469,salsalate,rheumatoid arthritis,inhibition of prostaglandin synthesis,sulfinpyrazone,alcohol or concurrent use with corticosteroids,hypersensitivity to aspirin or nsaids,local irritation
1470,salmon calcitonin,active paget's disease in patients who do not respond to alternative treatments,it inhibits osteoclastic bone resorption and reduces bone turnover,decrease serum concentration of lithium,cardiac glycosides,hypersensitivity. patients with hypocalcaemia,diabetogenic effect
1471,salmeterol xinafoate,both adolescents and adults,intracellular adenyl cyclase,monoamino oxidase inhibitors,monoamino oxidase inhibitors,acute episodes of asthma or copd,"skin reactions, muscle cramps, non-specific chest pain"
1472,sodium dichloroisocyanurate,effervescent water purification tablets,it rapidly dissolves into water to kill micro-organisms,acids and compounds containing ammonia,ammonia,do not use with other products,may cause long term adverse effects in the aquatic environment
1473,sodium cromoglicate + xylometazoline hydrochloride,nasal spray,local effect on the nasal mucosa,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,patients with a known hypersensitivity to any ingredients of the preparation,no serious side effects have been reported
1474,sodium cromoglicate [4%],nasal,no vasoconstrictor or antihistaminic activity,interaction with other drugs,drugs,hypersensitivity,local irritation
1475,sodium cromoglicate [2%],some patients,the exact mechanism of action of the drug remains to be elucidated,drug interactions,sodium cromoglycate,individuals who have shown hypersensitivity to the drug,eye drops
1476,sodium chloride + potassium chloride + sodium acetate,cholera,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
1477,sodium chloride + dextrose,persistent vomiting,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,patients with known allergy to corn or corn products,"if an adverse reaction does occur, discontinue the infusion"
1478,sodium chloride (tablet),deficiency,provides a source of sodium where a deficiency exists,impair the efficacy of antihypertensive drugs,300 mg,"edema, heart disease",no side effects have been reported
1479,sodium chloride (ophthalmic solution),certain eye conditions,reduce the edema or swelling of the cornea,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,individuals with known hypersensitivity,"other effects not listed above, contact your doctor or pharmacist"
1480,sodium chloride (nasal preparation),dry nasal membranes including dry nose resulting from cold and allergy medications,non-drug,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,do not share this medication with others,"stinging, sneezing, increased nasal discharge, or salty taste"
1481,sodium chloride (intravenous solution),each 100 ml solution,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"extravasation, and hypervolemia"
1482,sodium bicarbonate,alkalinization of urine,it increases plasma bicarbonate,potentially hazardous interactions,antacid,hypoventilatory states,"headache, nausea or irritability"
1483,sodium alginate + sodium bicarbonate + calcium carbonate,all cases of epigastric and retrosternal distress,physical and does not depend on absorption into the systemic circulation,drug intake and the administration of other medicinal products,drug,patients with known or suspected hypersensitivity,"constipation, flatulence, stomach cramp or belching"
1484,sodium alginate + potassium bicarbonate,pepsin into the esophagus,physical and does not depend on absorption into the systemic circulation,thyroid hormones,"iron salts, thyroid hormones",patients with known hypersensitivity,"nausea, constipation, diarrhea or headache"
1485,snake venom antiserum,tourniquets,antitoxin globulins and their derivatives,risk of increased severity of acute anaphylaxis,adrenergic blockers,no known contraindications,reduction in adverse reactions
1486,sitagliptin + metformin hydrochloride,both sitagliptin and metformin is appropriate,pharmacologic mechanism of action of metformin hcl,"monitoring of blood glucose levels is recommended, especially when thyroid hormone therapy",levothyroxine,anaphylaxis or angioedema,"diarrhea, upper respiratory tract infection, and headache"
1487,sitagliptin,not be used in patients with type 1 diabetes,dpp-4 inhibitor,oral contraceptive,digoxin,anaphylaxis or angioedema,insulin
1488,simvastatin,not responded adequately to diet and other appropriate measures,extensively metabolised in the liver,clinically significant adverse interactions,placebo,active liver disease,"headache, fatigue, insomnia, gastrointestinal effects"
1489,simethicone,anecdotal use as an antifoaming agent,antifoaming properties,absorb the silicone,antacids,NO SPECIFIC DATA AVAILABLE,no adverse effect has been noted after oral ingestion
1490,silver sulfadiazine,topical prophylaxis,not been fully elucidated,inactivate enzymatic debriding agents,oral hypoglycemic agents,"pregnant women approaching or at term, on premature infants, or on newborn infants",skin necrosis
1491,silodosin,effective treatment option for bph who are not responding to tamsulosin,post-synaptic alpha-1 adrenoreceptors,pde5 inhibitors with alpha-blockers,strong p-glycoprotein inhibitors,patients with a history of hypersensitivity to silodosin,"headache, nasopharyngitis and nasal congestion"
1492,somatostatin,severe acute haemorrhage,identical in structure and action to natural somatostatin,drugs exerting the same effects,drugs,during pregnancy and the immediate post-partum period,"nausea, vertigo, and flushing have been reported rarely. nausea and vomiting"
1493,solifenacin succinate,patients with overactive bladder syndrome,competitive muscarinic receptor antagonist,renal impairment,warfarin,patients with hypersensitivity,mild or moderate severity
1494,sofosbuvir + velpatasvir,without cirrhosis,nucleotide analog hcv ns5b polymerase inhibitor,drugs,drugs,patients for whom ribavirin is contraindicated,headache and tiredness
1495,sofosbuvir,not recommended for treatment of chc,nucleotide analog inhibitor,bcrp inhibitors,antiviral,women who are pregnant or may become pregnant and men whose female partners are pregnant,fatigue and headache
1496,sodium valproate,all types of epilepsy,not been established,drug metabolism,drug,pregnancy and in women of childbearing potential,acute pancreatitis and hyperammonemia
1497,sodium thiosulfate,sequential use with sodium nitrite,sulphur-donating substrate for the enzyme rhodanese,drug,drug,NO SPECIFIC DATA AVAILABLE,osmotic disturbances
1498,sodium succinate + cytochrome c + adenosine + nicotinamide,thiseye drops,nicotinamide is said to be involved in the process of creating atp,interaction with other drugs,eye drops,patients with known hypersensitivity to any ingredient of the product,this drug may cause more or less discomfort in some patients
1499,sodium stibogluconate,cancer/tumors (unspecified) and solid tumors,not clearly understood,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"hypersensitivity, significant renal impairment, breast feeding","reduced appetite, metallic taste in mouth,nausea,vomiting"
1500,sodium polystyrene sulfonate,excessive use of potassium supplements,cation exchange polymer that contains a sodium counterion,drug interactions,laxatives,patients with hypokalemia,"anorexia, nausea, vomiting, and constipation"
1501,sodium picosulfate + magnesium oxide + citric acid,anhydrous citric acid,NO SPECIFIC DATA AVAILABLE,chelation with magnesium,tetracycline and fluoroquinolone antibiotics,patients with severely reduced renal function,"nausea, headache and vomiting"
1502,sodium picosulfate,constipation,locally in the colon,laxative action,antibiotics,hypersensitivity,"nausea, vomiting"
1503,sodium nitroprusside dihydrate,immediate reduction of blood pressure of adult and pediatric patients in hypertensive crises,thiocyanate is eliminated in the urine,risk of severe hypotension,phosphodiesterase inhibitors,"patients with known inadequate cerebral circulation, or in moribund patients",cyanide poisoning
1504,sodium hypochlorite,"around the eyes, nose and mouth",oxidizing agent,drug,drug,no known contraindications,NO SPECIFIC DATA AVAILABLE
1505,sodium hyaluronate + carboxymethylcellulose sodium,eye drops,ocular lubricants,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients who are hypersensitive to any component of this preparation,transient blurring of vision
1506,sodium hyaluronate (ophthalmic),all forms of dry eye and for post-surgical lubrication,surgery,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,known hypersensitivity,"transient burning sensation, temporarily blurred vision and transient rise in intraocular pressure"
1507,sodium hyaluronate (injection),osteoarthritis (oa) of the knee,tissue lubricant,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,past and present infections or skin diseases,"gastrointestinal complaints, injection site pain"
1508,sodium fusidate (topical),skin infections,antibacterial activity,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,severe hepatic failure,hypersensitivity reactions
1509,sodium fusidate (oral),treatment,inhibits bacterial protein synthesis,drugs,drugs,hypersensitivity,change of liver function
1510,sodium fluoride (mouthwash),sodium fluoride is an antiseptic,cariostatic agent,absorption,magnesium salts,children less then 3 yr of age or when drinking water,"hypersensitivity reactions, rash, nausea, vomiting"
1511,sodium dihydrogen phosphate + disodium hydrogen phosphate,aqueous oral solution,mild osmotic laxative,dangerous,lithium,renal failure,sodium biphosphate
1512,sulphamethoxazole + trimethoprim,us,sequential blockade of two bacterial enzyme systems,<NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,patients with documented megaloblastic anaemia due to folate deficiency,"malaise, headache, nausea and vomiting"
1513,sulphadoxine + pyrimethamine,malaria,synergism,folate antagonists,folate,marked liver parenchymal damage or blood dyscrasias,amp; pyrimethamine at the recommended dose is well tolerated
1514,sulindac,rheumatoid arthritis,non-steroidal anti-inflammatory agents,adverse renal effects,protein,"children, pregnant or lactating women","drowsiness, dizziness, headache and nervousness"
1515,sulfinpyrazone,"chronic gouty arthritis, intermittent gouty arthritis",competitively inhibiting tubular reabsorption of uric acid,renal tubular secretion,probenecid,gastro-intestinal inflammation or ulceration,"upset stomach, vomiting, loss of appetite and joint pain"
1516,sulfasalazine,rheumatoid arthritis &amp; juvenile arthritis,under investigation,reduced absorption,folic acid,patients with intestinal or urinary obstruction and porphyria,"anorexia, headache, nausea, vomiting"
1517,sulfacetamide sodium,conjunctivitis and other superficial ocular infections,the spectrum of activity is similar for all,silver preparations,incompatible with silver preparations,individuals who have a hypersensitivity to sulfonamides,"local irritation, stinging and burning"
1518,sulconazole nitrate,tinea versicolor,inhibits the growth of the common pathogenic dermatophytes,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,patients who have a history of hypersensitivity to any of the ingredients,no systemic effects and only infrequent cutaneous adverse reactions
1519,sucralose + acesulfame potassium,tea,synergistic effect,NO SPECIFIC DATA AVAILABLE>,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE
1520,sucralose,"children, pregnant women and any person who wants to reduce calorie intake",eliminated after consumption,drug,drug,no known contraindication,no known side effects
1521,sucralfate,adults and adolescents over 14 years old,sucralfate inhibits the action of pepsin and bile.,stress ulceration,enteral feeds,patients with hypersensitivity to sucralfate,nausea (2.3%)
1522,strontium ranelate,postmenopausal women,reducing bone breakdown and stimulating rebuilding of bone,antibiotics),milk or milk products or calcium supplements,if you experience an allergic reaction,"nausea, diarrhoea, headache and skin irritation"
1523,streptomycin,only,aminoglycosides,nephrotoxicity,cephalosporins. reduced excretion with nsaids,hypersensitivity,"muscular weakness, amblyopia"
1524,streptokinase,always commence within 6 hours of the onset of pain,converts plasminogen to plasmin,contraindicated,acetylsalicylic acid,potential for internal bleeding,adverse reactions
1525,spironolactone,congestive heart failure,both as a diuretic and as an antihypertensive drug,half-life of digoxin,digoxin,"patients with acute renal insufficiency, significant impairment of renal function",gi symptoms
1526,spiramycin,"infections of the respiratory tract, buccal cavity, skin and soft tissues",stimulation of dissociation of peptidyl-trna,absorption of carbidopa,levodopa,patients with meningitis,"nausea, vomiting, diarrhea"
1527,spectinomycin,male,30s ribosomal subunit,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,NO SPECIFIC DATA AVAILABLE,"nausea, chills, fever and insomnia"
