name,dosage_form,generic_name,strength,manufacturer,price
amlohil,tablet,amlodipine besilate,5 mg,goodman pharmaceuticals ltd.,4.5
amlocard plus,tablet,amlodipine besilate + atenolol,5 mg+25 mg,drug international ltd.,5.05
amlocard,tablet,amlodipine besilate,5 mg,drug international ltd.,5.0
amlocard,tablet,amlodipine besilate,10 mg,drug international ltd.,7.05
amlosin,tablet,amlodipine besilate,5 mg,doctor’s chemical works ltd.,3.41
amlosartan,tablet,amlodipine besilate + valsartan,5 mg+160 mg,incepta pharmaceuticals ltd.,8.0
amlip,tablet,amlodipine besilate + atorvastatin,5 mg+10 mg,eskayef pharmaceuticals ltd.,11.0
amlo,tablet,amlodipine besilate,5 mg,pharmadesh laboratories ltd.,3.5
amlevo,tablet,levamlodipine maleate,5 mg,eskayef pharmaceuticals ltd.,10.0
amival,tablet,fluphenazine + nortriptyline,0.5 mg+10 mg,amico laboratories ltd.,0.8
amitip,tablet,amitriptyline hydrochloride,10 mg,pacific pharmaceuticals ltd.,0.85
amitip,tablet,amitriptyline hydrochloride,25 mg,pacific pharmaceuticals ltd.,1.75
amit,tablet,amitriptyline hydrochloride,25 mg,general pharmaceuticals ltd.,1.76
amloten,tablet,amlodipine besilate + atenolol,5 mg+25 mg,acme laboratories ltd.,5.27
amlocard plus,tablet,amlodipine besilate + atenolol,5 mg+50 mg,drug international ltd.,6.05
amlohil,tablet,amlodipine besilate,10 mg,goodman pharmaceuticals ltd.,6.0
amlevo,tablet,levamlodipine maleate,2.5 mg,eskayef pharmaceuticals ltd.,7.0
amlex,oral paste,amlexanox,5%,aci limited,0.0
amisure,iv infusion,amisulpride,5 mg/2 ml,acme laboratories ltd.,60.0
amiquin,tablet,gatifloxacin,400 mg,amico laboratories ltd.,10.0
ambrox sr,capsule (sustained release),ambroxol hydrochloride,75 mg,square pharmaceuticals ltd.,5.5
amlobet,tablet,amlodipine besilate + atenolol,5 mg+50 mg,sun pharmaceutical (bangladesh) ltd.,6.0
amifex,tablet,fexofenadine hydrochloride,120 mg,amico laboratories ltd.,0.0
amiclean,tablet,sodium thiosulfate,15 mg,amico laboratories ltd.,0.95
amdin,tablet,amlodipine besilate,5 mg,alco pharma ltd.,4.01
amfrad,powder for suspension,cephradine,125 mg/5 ml,amulet pharmaceuticals ltd.,0.0
amiclo,tablet,amitriptyline hydrochloride + chlordiazepoxide,12.5 mg+5 mg,popular pharmaceuticals ltd.,7.0
amlotab,tablet,amlodipine besilate,5 mg,incepta pharmaceuticals ltd.,5.0
amodis,tablet,metronidazole,400 mg,square pharmaceuticals ltd.,1.7
amoclav forte,powder for suspension,amoxicillin + clavulanic acid,(400 mg+57.50 mg)/5 ml,techno drugs ltd.,0.0
amodis,oral suspension,metronidazole,200 mg/5 ml,square pharmaceuticals ltd.,0.0
amogit,tablet,metronidazole,400 mg,marksman pharmaceuticals ltd.,1.03
amodis,iv infusion,metronidazole,500 mg/100 ml,square pharmaceuticals ltd.,0.0
amoclav,powder for suspension,amoxicillin + clavulanic acid,(125 mg+31.25 mg)/5 ml,techno drugs ltd.,0.0
amocin,capsule,amoxicillin trihydrate,500 mg,pacific pharmaceuticals ltd.,6.7
amoclav,iv injection,amoxicillin + clavulanic acid,(1 gm+200 mg)/20 ml,techno drugs ltd.,0.0
amocin,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,pacific pharmaceuticals ltd.,0.0
amocil,capsule,amoxicillin trihydrate,500 mg,mst pharma,6.0
amocil,capsule,amoxicillin trihydrate,250 mg,mst pharma,3.0
amocap,capsule,amoxicillin trihydrate,250 mg,sonear laboratories ltd.,3.59
amocin,capsule,amoxicillin trihydrate,250 mg,pacific pharmaceuticals ltd.,3.3
amocap,capsule,amoxicillin trihydrate,500 mg,sonear laboratories ltd.,6.15
amocal,tablet,amlodipine besilate,5 mg,opsonin pharma ltd.,5.0
amocal-bz,capsule,amlodipine besilate + benazepril hydrochloride,5 mg+10 mg,opsonin pharma ltd.,6.02
amobin,tablet,metronidazole,400 mg,doctor’s chemical works ltd.,1.14
amobin,tablet,metronidazole,200 mg,doctor’s chemical works ltd.,0.53
amlozep,capsule,amlodipine besilate + benazepril hydrochloride,5 mg+10 mg,beacon pharmaceuticals ltd.,6.04
amlovas at,tablet,amlodipine besilate + atenolol,5 mg+50 mg,popular pharmaceuticals ltd.,6.0
amlovas vs,tablet,amlodipine besilate + valsartan,5 mg+160 mg,popular pharmaceuticals ltd.,16.06
amoclav,tablet,amoxicillin + clavulanic acid,500 mg+125 mg,techno drugs ltd.,28.0
amocal-at,tablet,amlodipine besilate + atenolol,5 mg+50 mg,opsonin pharma ltd.,6.02
amoclav,tablet,amoxicillin + clavulanic acid,875 mg+125 mg,techno drugs ltd.,40.0
amobin,oral suspension,metronidazole,200 mg/5 ml,doctor’s chemical works ltd.,0.0
amobet,cream,clobetasone butyrate,0.05%,ad-din pharmaceuticals ltd.,0.0
amocil,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,mst pharma,0.0
amocal,tablet,amlodipine besilate,10 mg,opsonin pharma ltd.,6.04
amlovas vs,tablet,amlodipine besilate + valsartan,5 mg+80 mg,popular pharmaceuticals ltd.,9.03
amoxima,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,modern pharmaceuticals ltd.,0.0
amoxizen ds,capsule,amoxicillin trihydrate,500 mg,zenith pharmaceuticals ltd.,6.11
amoxizen,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,zenith pharmaceuticals ltd.,0.0
amoxikil,capsule,amoxicillin trihydrate,500 mg,veritas pharmaceuticals ltd.,7.5
amoxicon,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,medicon pharmaceuticals ltd.,0.0
amoxic,capsule,amoxicillin trihydrate,500 mg,cosmo pharma laboratories ltd.,5.0
amoxic,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,cosmo pharma laboratories ltd.,0.0
amox,capsule,amoxicillin trihydrate,500 mg,doctor’s chemical works ltd.,6.0
amoxima,capsule,amoxicillin trihydrate,500 mg,modern pharmaceuticals ltd.,6.65
amotrex ds,tablet,metronidazole,800 mg,aci limited,2.0
amovast,tablet,amlodipine besilate + atorvastatin,5 mg+10 mg,beacon pharmaceuticals ltd.,11.07
amox,pediatric drops,amoxicillin trihydrate,125 mg/1.25 ml,doctor’s chemical works ltd.,0.0
amoxicon,capsule,amoxicillin trihydrate,250 mg,medicon pharmaceuticals ltd.,2.84
amotrex,tablet,metronidazole,400 mg,aci limited,1.7
amotrex,oral suspension,metronidazole,200 mg/5 ml,aci limited,0.0
amuran,tablet,ranitidine hydrochloride,150 mg,amulet pharmaceuticals ltd.,2.0
amoxicon,capsule,amoxicillin trihydrate,500 mg,medicon pharmaceuticals ltd.,5.68
amx,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,nipro jmi pharma ltd.,0.0
amucef,capsule,cefixime trihydrate,400 mg,amulet pharmaceuticals ltd.,50.0
amtylin,tablet,amitriptyline hydrochloride,25 mg,edruc limited,1.0
amsiv,syrup,ambroxol hydrochloride,15 mg/5 ml,delta pharma ltd.,0.0
amtinol plus,tablet,amlodipine besilate + atenolol,5 mg+50 mg,euro pharma ltd.,7.5
ampress,tablet,amlodipine besilate,5 mg,benham pharmaceuticals ltd.,5.0
ampol xr,tablet (extended release),paracetamol,665 mg,al-madina pharmaceuticals ltd.,1.5
ampol plus,tablet,paracetamol + caffeine,500 mg+65 mg,al-madina pharmaceuticals ltd.,2.5
ampre,tablet,amlodipine besilate,5 mg,kumudini pharma ltd.,5.0
amucef,powder for suspension,cefixime trihydrate,100 mg/5 ml,amulet pharmaceuticals ltd.,0.0
amtinol,tablet,amlodipine besilate,5 mg,euro pharma ltd.,4.0
analor,tablet,loratadine,10 mg,techno drugs ltd.,2.99
analpain,pediatric drops,paracetamol,80 mg/ml,pharmadesh laboratories ltd.,0.0
analac,im/iv injection,ketorolac tromethamine,30 mg/ml,ziska pharmaceuticals ltd.,55.0
analac,tablet,ketorolac tromethamine,10 mg,ziska pharmaceuticals ltd.,10.0
amucef,capsule,cefixime trihydrate,200 mg,amulet pharmaceuticals ltd.,30.0
anaflex sr,tablet (sustained release),naproxen sodium,500 mg,aci limited,14.09
analpain,tablet,paracetamol,500 mg,pharmadesh laboratories ltd.,1.25
anaflex max,tablet (delayed release),naproxen sodium + esomeprazole magnesium,500 mg+20 mg,aci limited,15.0
amlovas vs,tablet,amlodipine besilate + valsartan,10 mg+160 mg,popular pharmaceuticals ltd.,16.06
anaflex,tablet,naproxen sodium,250 mg,aci limited,5.04
anaflex,gel,naproxen sodium,10% w/w,aci limited,0.0
anaflex,tablet,naproxen sodium,500 mg,aci limited,9.06
anadol,suppository,tramadol hydrochloride,100 mg,square pharmaceuticals ltd.,15.1
anabolin,im injection,nandrolone phenylpropionate,25 mg/ml,techno drugs ltd.,60.0
anacare,tablet,anastrozole,1 mg,drug international ltd.,4.29
anadol,capsule,tramadol hydrochloride,50 mg,square pharmaceuticals ltd.,8.07
analac,im/iv injection,ketorolac tromethamine,60 mg/2 ml,ziska pharmaceuticals ltd.,0.0
amzith,tablet,azithromycin dihydrate,500 mg,amulet pharmaceuticals ltd.,35.11
amzith,capsule,azithromycin dihydrate,250 mg,amulet pharmaceuticals ltd.,20.06
amynil,tablet,glimepiride,2 mg,globex pharmaceuticals ltd.,12.9
amx,capsule,amoxicillin trihydrate,500 mg,nipro jmi pharma ltd.,6.78
ampirex,im/iv injection,ampicillin sodium,500 mg/vial,jayson pharmaceuticals ltd.,22.49
ampimet,capsule,ampicillin sodium,250 mg,medimet pharmaceuticals ltd.,3.25
ampil plus,tablet,amlodipine besilate + atenolol,5 mg+50 mg,the white horse pharmaceuticals ltd.,6.0
ampil,tablet,amlodipine besilate,5 mg,the white horse pharmaceuticals ltd.,5.0
amoxon,capsule,amoxicillin trihydrate,250 mg,jayson pharmaceuticals ltd.,3.62
amoxon,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,jayson pharmaceuticals ltd.,0.0
amoxon,im/iv injection,amoxicillin trihydrate,500 mg/vial,jayson pharmaceuticals ltd.,24.67
amoxon,capsule,amoxicillin trihydrate,500 mg,jayson pharmaceuticals ltd.,6.78
amx,capsule,amoxicillin trihydrate,250 mg,nipro jmi pharma ltd.,3.61
amx ds,powder for suspension,amoxicillin trihydrate,250 mg/5 ml,nipro jmi pharma ltd.,0.0
anacort,im/iv injection,hydrocortisone,100 mg/2 ml,techno drugs ltd.,0.0
ancoc,capsule,flucloxacillin sodium,500 mg,marker pharma ltd.,10.0
ancoc,powder for suspension,flucloxacillin sodium,125 mg/5 ml,marker pharma ltd.,0.0
anclog,tablet,clopidogrel bisulphate,75 mg,square pharmaceuticals ltd.,12.03
ancoc,capsule,flucloxacillin sodium,250 mg,marker pharma ltd.,5.5
ancipro,tablet,ciprofloxacin,250 mg,unimed unihealth pharmaceuticals ltd.,8.5
ancef,pediatric drops,cephradine,125 mg/1.25 ml,unimed unihealth pharmaceuticals ltd.,0.0
ancef forte,powder for suspension,cephradine,250 mg/5 ml,unimed unihealth pharmaceuticals ltd.,0.0
anaxyl,tablet,tranexamic acid,500 mg,aci limited,20.06
ancef,capsule,cephradine,500 mg,unimed unihealth pharmaceuticals ltd.,12.5
anclog plus,tablet,clopidogrel + aspirin,75 mg+75 mg,square pharmaceuticals ltd.,12.03
anastrol,tablet,anastrozole,1 mg,beacon pharmaceuticals ltd.,16.67
ancef,capsule,cephradine,250 mg,unimed unihealth pharmaceuticals ltd.,6.5
anasec,capsule (delayed release),omeprazole,20 mg,novo healthcare and pharma ltd.,5.01
anaroxyl,injection,monosemicarbazone adrenochrome,5 mg/ml,nuvista pharma ltd.,66.9
anaprox,tablet (delayed release),naproxen sodium + esomeprazole magnesium,500 mg+20 mg,al-madina pharmaceuticals ltd.,10.0
anapol plus,tablet,paracetamol + caffeine,500 mg+65 mg,pharmik laboratories ltd.,0.0
anamet,tablet,metronidazole,400 mg,navana pharmaceuticals ltd.,1.27
anamet,oral suspension,metronidazole,200 mg/5 ml,navana pharmaceuticals ltd.,0.0
amotrex,iv infusion,metronidazole,500 mg/100 ml,aci limited,0.0
ancef,powder for suspension,cephradine,125 mg/5 ml,unimed unihealth pharmaceuticals ltd.,0.0
ancipro,tablet,ciprofloxacin,750 mg,unimed unihealth pharmaceuticals ltd.,18.0
amotid cl,tablet,amoxicillin + clavulanic acid,500 mg+125 mg,biopharma laboratories ltd.,30.0
amotid,capsule,amoxicillin trihydrate,500 mg,biopharma laboratories ltd.,6.02
amorox,syrup,ambroxol hydrochloride,15 mg/5 ml,united pharmaceuticals ltd.,0.0
amotid,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,biopharma laboratories ltd.,0.0
amotid,pediatric drops,amoxicillin trihydrate,125 mg/1.25 ml,biopharma laboratories ltd.,0.0
anapril,tablet,enalapril maleate,5 mg,eskayef pharmaceuticals ltd.,1.51
anapol,oral suspension,paracetamol,120 mg/5 ml,pharmik laboratories ltd.,0.0
anapril,tablet,enalapril maleate,10 mg,eskayef pharmaceuticals ltd.,2.7
ancipro,tablet,ciprofloxacin,500 mg,unimed unihealth pharmaceuticals ltd.,14.0
ancliz,tablet,meclizine + pyridoxine,25 mg+50 mg,monicopharma ltd.,3.0
amotid cl,powder for suspension,amoxicillin + clavulanic acid,(125 mg+31.25 mg)/5 ml,biopharma laboratories ltd.,0.0
anaroxyl,tablet,monosemicarbazone adrenochrome,2.5 mg,nuvista pharma ltd.,19.75
ampexin,injection,ampicillin sodium,250 mg/vial,opsonin pharma ltd.,17.98
ampexin,injection,ampicillin sodium,500 mg/vial,opsonin pharma ltd.,24.0
amotid,capsule,amoxicillin trihydrate,250 mg,biopharma laboratories ltd.,3.62
amynil,tablet,glimepiride,1 mg,globex pharmaceuticals ltd.,6.9
ampimet,capsule,ampicillin sodium,500 mg,medimet pharmaceuticals ltd.,5.0
anadol,im/iv injection,tramadol hydrochloride,100 mg/2 ml,square pharmaceuticals ltd.,20.14
anasec,iv injection,omeprazole,40 mg/vial,novo healthcare and pharma ltd.,0.0
amzith,powder for suspension,azithromycin dihydrate,200 mg/5 ml,amulet pharmaceuticals ltd.,0.0
anafranil,tablet,clomipramine hydrochloride,25 mg,sandoz (a novartis division),9.25
ampol,tablet,paracetamol,500 mg,al-madina pharmaceuticals ltd.,0.8
amtylin,tablet,amitriptyline hydrochloride,10 mg,edruc limited,0.5
amox,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,doctor’s chemical works ltd.,0.0
amox,capsule,amoxicillin trihydrate,250 mg,doctor’s chemical works ltd.,3.5
anacaine hc,cream,hydrocortisone + lidocaine,(5 mg+30 mg)/gm,incepta pharmaceuticals ltd.,0.0
anadol sr,capsule (sustained release),tramadol hydrochloride,100 mg,square pharmaceuticals ltd.,12.09
amoxizen,capsule,amoxicillin trihydrate,250 mg,zenith pharmaceuticals ltd.,3.52
ampre plus,tablet,amlodipine besilate + atenolol,5 mg+25 mg,kumudini pharma ltd.,6.0
amotid f,powder for suspension,amoxicillin trihydrate,250 mg/5 ml,biopharma laboratories ltd.,0.0
ampimet ds,oral suspension,ampicillin sodium,125 mg/5 ml,medimet pharmaceuticals ltd.,0.0
anaflex max,tablet (delayed release),naproxen sodium + esomeprazole magnesium,375 mg+20 mg,aci limited,10.0
anfenac,ophthalmic solution,diclofenac sodium,0.1%,nipa pharmaceuticals ltd.,0.0
anfasil,tablet,fluconazole,50 mg,silva pharmaceuticals ltd.,7.0
anfasil,tablet,fluconazole,150 mg,silva pharmaceuticals ltd.,20.0
ancopan,tablet,hyoscine butylbromide,20 mg,bristol pharmaceuticals ltd.,3.5
amupime,im/iv injection,cefepime hydrochloride,500 mg/vial,amulet pharmaceuticals ltd.,0.0
anetol,tablet,atenolol,50 mg,ambee pharmaceuticals ltd.,0.8
anet,tablet,domperidone maleate,10 mg,kemiko pharmaceuticals ltd.,2.0
anet,oral suspension,domperidone maleate,5 mg/5 ml,kemiko pharmaceuticals ltd.,0.0
anespine,intraspinal injection,bupivacaine hydrochloride + dextrose,0.5%+8%,square pharmaceuticals ltd.,30.2
anestho,iv injection,thiopental sodium,500 mg/vial,incepta pharmaceuticals ltd.,0.0
androgel,topical gel,testosterone,16.2 mg/gm,"besins healthcare, monaco, france",0.0
androcap,capsule,testosterone undecanoate,40 mg,renata limited,25.0
anefer,iv injection or infusion,iron sucrose,200 mg/10 ml,opsonin pharma ltd.,0.0
andriol testocaps,capsule,testosterone undecanoate,40 mg,organon,7.44
andep,tablet,sertraline hydrochloride,25 mg,healthcare pharmaceuticals ltd.,3.0
andep,tablet,sertraline hydrochloride,50 mg,healthcare pharmaceuticals ltd.,5.5
ancotil,tablet,bromazepam,3 mg,rangs pharmaceuticals ltd.,4.02
andep,tablet,sertraline hydrochloride,100 mg,healthcare pharmaceuticals ltd.,10.0
ancor plus,tablet,bisoprolol fumarate + hydrochlorothiazide,5 mg+6.25 mg,aristopharma ltd.,10.0
ancor,tablet,bisoprolol hemifumarate,10 mg,aristopharma ltd.,16.0
ancor,tablet,bisoprolol hemifumarate,5 mg,aristopharma ltd.,10.0
ancopan,tablet,hyoscine butylbromide,10 mg,bristol pharmaceuticals ltd.,1.8
anema,rectal saline,diabasic sodium phosphate + monobasic sodium phosphate,(7 gm+19 gm)/118 ml,square pharmaceuticals ltd.,0.0
anestho,iv injection,thiopental sodium,1 gm/vial,incepta pharmaceuticals ltd.,0.0
angivent mr,tablet (modified release),trimetazidine dihydrochloride,35 mg,square pharmaceuticals ltd.,8.0
andepram,tablet,escitalopram oxalate,10 mg,radiant pharmaceuticals ltd.,13.0
anib,tablet,afatinib dimaleate,40 mg,drug international ltd.,16.67
angiten,tablet,captopril,25 mg,ibn sina pharmaceuticals ltd.,3.25
angitrim mr,tablet (modified release),trimetazidine dihydrochloride,35 mg,globe pharmaceuticals ltd.,6.0
ancor plus,tablet,bisoprolol fumarate + hydrochlorothiazide,2.5 mg+6.25 mg,aristopharma ltd.,6.0
angirid mr,tablet (modified release),trimetazidine dihydrochloride,35 mg,acme laboratories ltd.,5.8
angipro,tablet,metoprolol tartrate,50 mg,the white horse pharmaceuticals ltd.,1.3
angin,tablet (enteric coated),aspirin,75 mg,pharmadesh laboratories ltd.,0.5
angimil sr,tablet,verapamil hydrochloride,240 mg,medimet pharmaceuticals ltd.,7.0
angimil,tablet,verapamil hydrochloride,40 mg,medimet pharmaceuticals ltd.,2.25
angimet mr,tablet (modified release),trimetazidine dihydrochloride,35 mg,orion pharma ltd.,6.0
angimet,tablet,trimetazidine dihydrochloride,20 mg,orion pharma ltd.,3.01
angitan plus,tablet,losartan potassium + hydrochlorothiazide,50 mg+12.5 mg,chemist laboratories  ltd.,8.0
angilock plus,tablet,losartan potassium + hydrochlorothiazide,100 mg+25 mg,square pharmaceuticals ltd.,12.03
angilock,tablet,losartan potassium,50 mg,square pharmaceuticals ltd.,10.0
angical,tablet,amlodipine besilate + atenolol,5 mg+50 mg,apex pharmaceuticals ltd.,6.0
angicard,sublingual tablet,nitroglycerin,0.5 mg,drug international ltd.,3.05
angela,tablet,drospirenone + estradiol,1 mg+0.5 mg,renata limited,24.0
angilock,tablet,losartan potassium,25 mg,square pharmaceuticals ltd.,5.0
angifix,tablet,isosorbide mononitrate,20 mg,incepta pharmaceuticals ltd.,1.42
anginox mr,tablet (modified release),trimetazidine dihydrochloride,35 mg,general pharmaceuticals ltd.,6.0
angilock plus,tablet,losartan potassium + hydrochlorothiazide,50 mg+12.5 mg,square pharmaceuticals ltd.,10.0
angist sr,tablet (sustained release),nitroglycerin,2.6 mg,acme laboratories ltd.,5.0
angilock,tablet,losartan potassium,100 mg,square pharmaceuticals ltd.,12.03
angesic,tablet,ketorolac tromethamine,10 mg,the white horse pharmaceuticals ltd.,10.0
angenta,tablet,flupentixol + melitracen,0.5 mg+10 mg,healthcare pharmaceuticals ltd.,5.0
angivas mr,tablet (modified release),trimetazidine dihydrochloride,35 mg,popular pharmaceuticals ltd.,5.0
anefer,iv injection or infusion,iron sucrose,100 mg/5 ml,opsonin pharma ltd.,0.0
ancor-a,tablet,bisoprolol fumarate + amlodipine besilate,2.5 mg+5 mg,aristopharma ltd.,6.0
anflu,tablet,fluphenazine + nortriptyline,0.5 mg+10 mg,alco pharma ltd.,0.75
angilock plus,tablet,losartan potassium + hydrochlorothiazide,100 mg+12.5 mg,square pharmaceuticals ltd.,12.0
ancor,tablet,bisoprolol hemifumarate,2.5 mg,aristopharma ltd.,6.0
andepram,tablet,escitalopram oxalate,5 mg,radiant pharmaceuticals ltd.,8.0
anfasil,powder for suspension,fluconazole,50 mg/5 ml,silva pharmaceuticals ltd.,0.0
anfree,tablet,flupentixol + melitracen,0.5 mg+10 mg,aristopharma ltd.,5.0
anplat,tablet,clopidogrel bisulphate,75 mg,jenphar bangladesh ltd.,10.0
anpar,cream,terbinafine hydrochloride,1%,doctor’s chemical works ltd.,0.0
anotic,tablet,flupentixol + melitracen,0.5 mg+10 mg,doctor’s chemical works ltd.,3.5
anquil,tablet,midazolam,15 mg,general pharmaceuticals ltd.,17.3
anolol,tablet,atenolol,50 mg,euro pharma ltd.,0.8
anquil,im/iv injection,midazolam,15 mg/3 ml,general pharmaceuticals ltd.,86.0
anodyne,gel,diclofenac sodium,1% w/w,ibn sina pharmaceuticals ltd.,0.0
anodyne,tablet,diclofenac sodium,50 mg,ibn sina pharmaceuticals ltd.,1.0
anosea plus,tablet,meclizine + pyridoxine,25 mg+50 mg,ibn sina pharmaceuticals ltd.,3.0
anolol,tablet,atenolol,100 mg,euro pharma ltd.,1.38
anlet,tablet,clopidogrel bisulphate,75 mg,globe pharmaceuticals ltd.,11.0
anleptic cr,tablet (controlled release),carbamazepine,200 mg,square pharmaceuticals ltd.,6.02
anleptic,oral suspension,carbamazepine,100 mg/5 ml,square pharmaceuticals ltd.,0.0
anol,tablet,atenolol,50 mg,modern pharmaceuticals ltd.,0.77
anitid,syrup,ranitidine hydrochloride,75 mg/5 ml,team pharmaceuticals ltd.,0.0
anodyne,ophthalmic solution,diclofenac sodium,0.1%,ibn sina pharmaceuticals ltd.,0.0
anilic,tablet,tolfenamic acid,200 mg,drug international ltd.,9.0
animet,capsule (timed release),carbonyl iron + folic acid + zinc sulfate,50 mg+0.50 mg+61.80 mg,asiatic laboratories ltd.,3.0
anodyne plus,im injection,diclofenac sodium + lidocaine hydrochloride,(75 mg+20 mg)/2 ml,ibn sina pharmaceuticals ltd.,12.0
anin,tablet,losartan potassium,50 mg,delta pharma ltd.,5.0
anitid,tablet,ranitidine hydrochloride,150 mg,team pharmaceuticals ltd.,2.5
anin plus,tablet,losartan potassium + hydrochlorothiazide,50 mg+12.5 mg,delta pharma ltd.,6.0
anosil,ointment,hydrocortisone acetate + benzyl benzoate + bismuth subgallate + bismuth oxide + balsam peru + zinc oxide,0,ziska pharmaceuticals ltd.,0.0
anofer,iv injection or infusion,iron sucrose,100 mg/5 ml,monicopharma ltd.,0.0
anobac,capsule,clindamycin,300 mg,globe pharmaceuticals ltd.,15.0
anodyne sr,capsule (sustained release),diclofenac sodium,100 mg,ibn sina pharmaceuticals ltd.,4.0
anol,tablet,atenolol,50 mg,medicon pharmaceuticals ltd.,0.74
antage,tablet,vitamin c + vitamin e,200 mg+200 mg,euro pharma ltd.,5.0
antacid max,chewable tablet,aluminium hydroxide + magnesium hydroxide + simethicone,400 mg+400 mg+30 mg,beximco pharmaceuticals ltd.,2.0
anlet plus,tablet,clopidogrel + aspirin,75 mg+75 mg,globe pharmaceuticals ltd.,12.0
antac,tablet,ranitidine hydrochloride,150 mg,ambee pharmaceuticals ltd.,1.81
antac,syrup,ranitidine hydrochloride,75 mg/5 ml,ambee pharmaceuticals ltd.,0.0
antac,im/iv injection,ranitidine hydrochloride,50 mg/2 ml,ambee pharmaceuticals ltd.,5.32
anorel,ointment,cinchocaine + hydrocortisone + neomycin + esculin,(5 mg+5 mg+10 mg+10 mg)/gm,popular pharmaceuticals ltd.,0.0
ansupen,sc injection,insulin device & needle,0,"ypsomed ag, burgdorf, switzerland",0.0
ansulin r,sc injection,insulin human [rdna],100 iu/ml,square pharmaceuticals ltd.,0.0
ansulin r,sc injection,insulin human [rdna],40 iu/ml,square pharmaceuticals ltd.,0.0
ansulin n,sc injection,insulin human [rdna],100 iu/ml,square pharmaceuticals ltd.,0.0
ansupen twist,sc injection,insulin device & needle,0,"ypsomed ag, burgdorf, switzerland",0.0
ansulin,sc injection,insulin human [rdna],30%+70% in 100 iu/ml,square pharmaceuticals ltd.,0.0
ansulin,sc injection,insulin human [rdna],30%+70% in 40 iu/ml,square pharmaceuticals ltd.,0.0
ansulin,sc injection,insulin human [rdna],50%+50% in 100 iu/ml,square pharmaceuticals ltd.,0.0
anset,tablet,ondansetron,8 mg,opsonin pharma ltd.,11.0
anset,tablet,ondansetron,4 mg,opsonin pharma ltd.,4.54
anril sr,tablet (sustained release),nitroglycerin,2.6 mg,square pharmaceuticals ltd.,5.0
anril,iv infusion,nitroglycerin,50 mg/10 ml,square pharmaceuticals ltd.,75.5
anril,topical spray,nitroglycerin,400 mcg/spray,square pharmaceuticals ltd.,0.0
antaluk,tablet,montelukast sodium,10 mg,united pharmaceuticals ltd.,15.0
anreb plus,tablet,losartan potassium + hydrochlorothiazide,50 mg+12.5 mg,general pharmaceuticals ltd.,9.0
anreb,tablet,losartan potassium,50 mg,general pharmaceuticals ltd.,8.03
antanil,chewable tablet,aluminium hydroxide + magnesium hydroxide,250 mg+400 mg,ibn sina pharmaceuticals ltd.,0.64
anset,im/iv injection,ondansetron,8 mg/4 ml,opsonin pharma ltd.,32.0
anset,suppository,ondansetron,16 mg,opsonin pharma ltd.,15.0
anoxa,tablet,oxazepam,10 mg,square pharmaceuticals ltd.,3.52
anreb,tablet,losartan potassium,25 mg,general pharmaceuticals ltd.,4.51
anreb plus,tablet,losartan potassium + hydrochlorothiazide,100 mg+12.5 mg,general pharmaceuticals ltd.,12.0
antanil,oral suspension,aluminium hydroxide + magnesium hydroxide,(200 mg+400 mg)/5 ml,ibn sina pharmaceuticals ltd.,0.0
antivenom,injection,snake venom antiserum,0,incepta pharmaceuticals ltd.,0.0
antista,syrup,chlorpheniramine maleate,2 mg/5 ml,square pharmaceuticals ltd.,0.0
antismin,syrup,chlorpheniramine maleate,2 mg/5 ml,silco pharmaceutical ltd.,0.0
antipro,tablet,metronidazole,400 mg,rangs pharmaceuticals ltd.,1.55
antiscar,topical gel,allium cepa + heparin + allantoin,100 mg+50 iu+10 mg,square pharmaceuticals ltd.,0.0
antiplet,tablet,clopidogrel bisulphate,75 mg,rangs pharmaceuticals ltd.,10.03
antixa,tablet,apixaban,5 mg,general pharmaceuticals ltd.,20.0
antima,capsule,cefixime trihydrate,400 mg,jayson pharmaceuticals ltd.,50.15
anset,oral solution,ondansetron,4 mg/5 ml,opsonin pharma ltd.,0.0
antigrain,tablet,pizotifen,0.5 mg,ibn sina pharmaceuticals ltd.,3.25
antigall,tablet,ursodeoxycholic acid,300 mg,incepta pharmaceuticals ltd.,22.0
antigall,tablet,ursodeoxycholic acid,150 mg,incepta pharmaceuticals ltd.,13.0
antison,tablet,flupentixol + melitracen,0.5 mg+10 mg,asiatic laboratories ltd.,4.0
antif,capsule,amoxicillin trihydrate,250 mg,rangs pharmaceuticals ltd.,3.62
antif,powder for suspension,amoxicillin trihydrate,125 mg/5 ml,rangs pharmaceuticals ltd.,0.0
anthisan,cream,mepyramine maleate,2%,synovia pharma plc,0.0
anthel ds,chewable tablet,albendazole,400 mg,seema pharmaceuticals ltd.,4.2
antazol,nasal drop,xylometazoline hydrochloride,0.05%,square pharmaceuticals ltd.,18.0
antazol,nasal drop,xylometazoline hydrochloride,0.1%,square pharmaceuticals ltd.,20.0
