generic_name,contraindications_description,contraindication_result
promethazine theoclate,"children under fiveyears of age. people with reduced awareness, slow reactions or extreme drowsiness caused by medicines or illnessesthat reduce activity in the central nervous system. people who have taken a type of medicine called amonoamine-oxidase inhibitor antidepressant(maoi) in the past 14 days. children and adolescents who have signs and symptoms suggestive of reye's syndrome. people who are allergic to any ingredients of the tablets. promethazine theoclate tablets contain lactose and should not be taken by people with rare hereditary problems of galactose intolerance, the lapp lactase deficiency or glucose-galactose malabsorption.",allergic to any ingredients of the tablets
promethazine hydrochloride (injection),"promethazine hydrochloride injection is contraindicated in comatose states and in patients who have demonstrated an idiosyncrasy or hypersensitivity to promethazine or other phenothiazines. under no circumstances should promethazine hydrochloride injection be given by intra-arterial injection due to the likelihood of severe arteriospasm and the possibility of resultantgangrene. promethazine hydrochloride injection should not be given by thesubcutaneousroute; evidence of chemical irritation has been noted, andnecroticlesions have resulted on rare occasions following subcutaneous injection. the preferred parenteral route of administration is by deepintramuscularinjection.",in comatose states
promethazine hydrochloride,promethazine is contraindicated for use in children less than two years of age hypersensitivity to promethazine or to any of the excipients. phenergan should not be used in patients who are in a coma or suffering from cns depression of any cause. it must not be given to neonates or premature infants. phenergan should be avoided in patients who have been taking monoamine oxidase inhibitors within the previous 14 days,hypersensitivity to promethazine
progesterone (vaginal pessary),hypersensitivity to the active substance or to any of the excipients undiagnosed vaginal bleeding known or suspected progesterone sensitive malignant tumors porphyria severe hepatic dysfunction or disease known missed abortion or ectopic pregnancy active arterial or venous thromboembolism or severe thrombophlebitis or a history of these events,undiagnosed vaginal bleeding
progesterone (vaginalgel),"if you are allergic to the active substance or any of the other ingredients of this medicine. if you have unexplained vaginal bleeding. if you have porphyria (an inability to break down certain substances (porphyrins) in your blood that is passed down in families). if you have or think you might have cancer in your breasts or genital organs. if you have ever had a blood clot due to swollen veins (thrombophlebitis), a blocked blood vessel (thromboembolic disorder) or a stroke. if you are pregnant but your baby has died inside of you (missed abortion).",if you are allergic to the active substance or any of the other ingredients
progesterone (capsule),"hypersensitivity, hepatic dysfunction, undiagnosed vaginal bleeding, porphyria, cancers of uterus and genital organs, breast cancers, history of stroke or blood clots. it should not be used in a case of miscarriage and tissue left in the uterus.",miscarriage and tissue left in the uterus
procyclidine hydrochloride,"it should be given with caution in children and geriatric patients. it is advisable to be cautious in giving procyclidine to patients with diarrhoea and cardiovascular disease, glaucoma, urinary retention, hepatic or renal impairment. the safety of using procyclidine during pregnancy has not been established. no data are available on the excretion of this drug in breast milk.",the safety of using procyclidine during pregnancy
prochlorperazine maleate,"hypersensitivity to prochlorperazine or any component of the formulation, severe cns depression; coma; should not be used in children &lt;2 years of age or &lt;10 kg.",should not be used in children
procaine penicillin + benzyl penicillin,hypersensitivity to penicillin.,hypersensitivity to penicillin
probiotic combination [9 billion],probiotics are contraindicated in those who are hypersensitive to any component of a probiotic-containing product.,probiotics
probiotic combination [20 billion],the drug is contraindicated if patient has any hypersensitivity to it.,if patient has any hypersensitivity to it
probiotic combination [14 strains],no data available,no data available
probiotic combination [10 billion],no data available,no data available
primaquine phosphate,"acutely ill patients suffering from systemic disease manifested by tendency to develop granulocytopenia (e.g. rheumatoid arthritis, lupus erythematosus). concurrent use with other potentially haemolytic drugs or depressants of myeloid elements of the bone marrow. concomitant admin with mepacrine.",concurrent use with other potentially haemolytic drugs or depressants
pregabalin,pregabalin is contraindicated in patients with known hypersensitivity to pregabalin or any of its components.,hypersensitivity to pregabalin or any of its components
prednisolone acetate,"prednisolone acetate is contraindicated in viral diseases of the cornea, conjunctiva and known hypersensitivity to any of the ingredients of this preparation or other corticosteroids.",viral diseases
prednisolone + neomycin sulphate + polymixin b sulphate,"prednisolone acetate is contraindicated in viral diseases of the cornea, conjunctiva and known hypersensitivity to any of the ingredients of this preparation or other corticosteroids.",viral diseases
rabies immunoglobulin,"known history of allergic symptoms to horse proteins. nevertheless, the lethal risk associated with rabies overcomes any potential contraindication.",the lethal risk associated with rabies
rabeprazole sodium,hypersensitivity to the active substance or to any of the excipients. rabeprazole is contra-indicated in pregnancy and during breastfeeding.,hypersensitivity
rabeprazole + amoxicillin + clarithromycin,this drug is contraindicated in patients with known hypersensitivity to any of its component.,hypersensitivity to any of its component
quinine sulfate,"hypersensitivity reaction, optic neuritis, in case of black water fever etc.","hypersensitivity reaction, optic neuritis"
quetiapine fumarate,quetiapine is contra-indicated in patients who are hypersensitive to it.,hypersensitive
pyrimethamine,use of pyrimethamine is contraindicated in patients with known hypersensitivity to pyrimethamine or to any component of the formulation. use of the drug is also contraindicated in patients with documented megaloblastic anemia due to folate deficiency.,patients with known hypersensitivity to pyrimethamine
pyridoxine hydrochloride + doxylamine succinate,"doxylamine succinate &amp; pyridoxine hydrochloride is contraindicated in women with any of the following conditions: known hypersensitivity to doxylamine succinate, other ethanolamine derivative antihistamines, pyridoxine hydrochloride or any inactive ingredient in the formulation monoamine oxidase (mao) inhibitors intensify and prolong the adverse central nervous system effects of doxylamine succinate &amp; pyridoxine hydrochloride",known hypersensitivity to doxylamine succinate
pyridoxine hydrochloride,no data available,no data available
pyridostigmine bromide,"pyridostigmine is contraindicated in mechanical intestinal or urinary obstruction, and particular caution should be used in its administration to patients with bronchial asthma. care should be observed in the use of atropine for counteracting side effects.",mechanical intestinal or urinary obstruction
pyrazinamide,pyrazinamide is contraindicated in persons: with severe hepatic damage. who have shown hypersensitivity to it. with acute gout.,with severe hepatic damage
pyrantel pamoate,known hypersensitivity to pyrantel or any ingredient in the formulation.,hypersensitivity to pyrantel or any ingredient in the formulation
pseudoephedrine hydrochloride,pseudoephedrine is contraindicated in- hypersensitivity of individuals to this drug severe hypertension and coronary artery disease concurrent use of mono amine oxidase inhibitor (maoi) drugs,severe hypertension and coronary artery disease
pseudoephedrine + guaiphenasine + triprolidine,"this is contraindicated in the cases of known hypersensitivity to any of its constituents, cardiovascular disease including hypertension, lower respiratory symptoms including asthma, monoamine oxidase inhibitor (maoi) therapy.",known hypersensitivity to any of its constituents
prucalopride succinate,prucalopride is contraindicated in those people who are hypersensitive to the active substance or to any of the excipients and people with renal impairment requiring dialysis.,people with renal impairment requiring dialysis
"protein, fat, carbohydrate, vitamin & mineral",hypersensitivity to any of the ingredient of this product.,hypersensitivity
protamine sulfate,protamine sulfate is contraindicated in patients who have shown previous intolerance to the drug.,previous intolerance to the drug
protamine crystallised insulin aspart,no data available,no data available
propylthiouracil,propylthiouracil is contraindicated in patients who have demonstrated hypersensitivity to the drug or any of the other product components.,hypersensitivity to the drug or any of the other product components
propranolol hydrochloride,"bronchospasm, cardiogenic shock, second or third degree heart block, diabetes mellitus etc.",diabetes mellitus
propofol,allergy to propofol or any other ingredient in the preparation.,allergy to propofol or any other ingredient in the preparation
ribavirin,"women who are pregnant. ribavirinmay cause fetal harm when administered to a pregnant woman. ribavirinis contraindicated in women who are or may become pregnant. if this drug is used during pregnancy, or if the patient becomes pregnant while taking this drug, the patient should be apprised of the potential hazard to the fetus. patients with hemoglobinopathies (e.g., thalassemia major or sickle-cell anemia). in combination with didanosine. reports of fatal hepatic failure, as well as peripheral neuropathy, pancreatitis and symptomatic hyperlactatemia/lactic acidosis have been reported in clinical trials.",ribavirinis contraindicated in women who are or may become pregnant
rhubarb extract + salicylic acid,hypersensitivity to any of the constituents.,hypersensitivity to any of the constituents
retapamulin,contraindicated in patients with hypersensitivity of any ingredient of this preparation.,hypersensitivity
repaglinide,"repaglinide is contraindicated in patients with: diabetic ketoacidosis, with or without coma. type 1 diabetes mellitus and known hypersensitivity to the drug or its inactive ingredients.","diabetic ketoacidosis, with or without coma"
remdesivir,remdesivir is contraindicated in patients with known hypersensitivity to remdesivir.,hypersensitivity to remdesivir
relugolix,no data available,no data available
regorafenib,no data available,no data available
red clover [trifolium pratense],not to be used in patients with estrogen receptor-positive neoplasias.,not to be used
recombinant follicle stimulating hormone (rfsh),"tumors of the ovary, breast, uterus, pituitary or hypothalamus pregnancy or lactation undiagnosed vaginal bleeding hypersensitivity to the active substance or to any of the excipients primary ovarian failure fibroid tumors of the uterus incompatible with pregnancy primary testicular failure.",hypersensitivity to the active substance
rasagiline,"rasagiline is contraindicated for use with meperidine, tramadol, methadone, propoxyphene and mao inhibitors (maois), including other selective mao-b inhibitors, because of risk of serotonin syndrome.","meperidine, tramadol, methadone"
ranolazine,"ranolazine is contraindicated in patients: with pre-existing qt prolongation with hepatic impairment taking qt prolonging drugs taking potent and moderately potent cyp3a inhibitors such as ketoconazole, itraconazole, clarithromycin, nefazodone, nelfinavir, ritonavir, indinavir, and saquinavir, including diltiazem.",pre-existing qt prolongation with hepatic impairment
ranitidine hydrochloride,patients hypersensitive to ranitidine,patients hypersensitive to ranitidine
ranibizumab,"active or suspected ocular or periocular infection, active severe intraocular inflammation, signs of irreversible ischaemic visual function loss in patients with retinal vein occlusion.",active or suspected ocular or periocular infection
ramucirumab,no data available,no data available
ramipril + hydrochlorothiazide,"this preparation must not be used in patients with hypersensitivity to ramipril, hydrochlorothiazide or other thiazide diuretics. history of hereditary angioneurotic oedema. severe impairment of renal function. haemodynamically relevant unilateral or bilateral renal artery stenosis, mitral stenosis, aortic stenosis, and in patients with low blood pressure (hypotensive patients) or in patients with an unstable circulatory situation (haemodynamically unstable patients) where there might be a risk of life-threatening fall in blood pressure and renal failure. clinically relevant electrolyte disturbances e.g. hypokalemia, hyponatremia or hypercalcemia which may worsen following treatment.",hypersensitivity to ramipril
ramipril,"ramipril must not be used in patients with hypersensitivity to ramipril, to any other ace inhibitor, or any of the excipients of ramipril. in patients with a history of angioedema. concomitantly with sacubitril/valsartan therapy. do not initiate ramipril until sacubitril/valsartan is eliminated from the body. in case of switch from ramipril to sacubitril/valsartan, do not start sacubitril/valsartan until ramipril is eliminated from the body. in patients with haemodynamically relevant renal artery stenosis, bilateral or unilateral in the single kidney. in patients with hypotensive or haemodynamically unstable states. with aliskiren-containing medicines in patients with diabetes or with moderate to severe renal impairment (creatinine clearance &lt;60 ml/min). with angiotensin ii receptor antagonists (aiiras) in patients with diabetic nephropathy. during pregnancy. concomitant use of ace inhibitors and extracorporeal treatments leading to contact of blood with negatively charged surfaces must be avoided, since such use may lead to severe anaphylactoid reactions. such extracorporeal treatments include dialysis or haemofiltration with certain high-fux (e.g. polyacrylonitril) membranes and low-density lipoprotein apheresis with dextran sulfate.",such use may lead to severe anaphylactoid reactions
ramelteon,history of angioedema while taking ramelteon. fluvoxamine (strong cyp1a2 inhibitor) : increases auc for ramelteon and should not be used in combination,should not be used in combination
racepinephrine,no data available,no data available
racecadotril,"hypersensitivity to racecadotril, or to any of the excipients.",hypersensitivity to racecadotril
rabies vaccine,"rabies vaccine is contraindicated in the following cases: pre-exposure : severe fever, febrile infection, acute disease, progressive chronic diseases. known hypersensitivity reactions to rabies vaccine or any of its components post-exposure : no contraindication to post-exposure treatment, because rabies is lethal disease, any contraindication to exposure, treatment should be considered carefully before disqualifying an individual for anti-rabies treatment.",known hypersensitivity reactions
roflumilast,hypersensitivity to roflumilast or to any of the excipients. moderate to severe liver impairment.,hypersensitivity to roflumilast
rocuronium bromide,hypersensitivity to rocuronium or to the bromide ion or to any of the excipients.,hypersensitivity to rocuronium or to the bromide ion
rizatriptan benzoate,"rizatriptan benzoate is contraindicated in patients with: ischemiccoronary artery disease(angina pectoris, history ofmyocardial infarction, or documented silent ischemia), or other significant underlyingcardiovascular disease coronary artery vasospasm including prinzmetal'sangina history ofstrokeortransient ischemic attack(tia) peripheral vascular disease(pvd) ischemic bowel disease uncontrolled hypertension recent use (i.e., within 24 hours) of another 5-ht1agonist, ergotamine-containing medication, orergot-type medication (such as dihydroergotamine or methysergide) hemiplegicorbasilarmigraine concurrent administration or recent discontinuation (i.e., within 2 weeks) of a mao-a inhibitor hypersensitivity to rizatriptan benzoate (angioedema andanaphylaxisseen)",ischemiccoronary artery disease
rivastigmine tartrate,the use of this medicinal product is contraindicated in patients with hypersensitivity to the active substance or other carbamate derivatives.,hypersensitivity to the active substance or other carbamate derivatives
rivaroxaban,it is contraindicated in patients with known hypersensitivity of rivaroxaban or any of the excipients of the product. it is also contraindicated in patients with active pathological bleeding.,patients with active pathological bleeding
rituximab,"hypersensitivity to murine proteins. patients with active, severe infections. severely immunocompromised state. concomitant use with live viral vaccines. lactation.",concomitant use with live viral vaccines. lactation
ritodrine hydrochloride,"it is contraindicated in patients with known hypersensitivity to the active ingredient or any of the excipients of this component. 2-agonists are contra-indicated in cardiac disease and in patients with significant risk factors for myocardial ischaemia; they should also be avoided in antepartum haemorrhage, intra-uterine infection, intra-uterine fetal death, placenta praevia,abruptio placenta, threatened miscarriage, cord compression, and eclampsia or severe preeclampsia.",patients with known hypersensitivity to the active ingredient
risperidone (oral),risperidone is contraindicated in patients with a known hypersensitivity to the product.,hypersensitivity to the product
risperidone (injection),"known hypersensitivity to risperidone, paliperidone, or to any excipients in risperidone",known hypersensitivity
risedronate sodium + calcium,no data available,no data available
risedronate sodium,"risedronate sodium tablet is contraindicated in patients with known hypersensitivity to risedronate sodium and in patients with hypocalcaemia, severe renalimpairment (creatinine clearance lower than 30 ml/min), during pregnancy and lactation.",patients with known hypersensitivity to risedronate sodium
ringer's lactate solution,hypersensitivity.,hypersensitivity
rimexolone,"rimexolone 1% (rimexolone ophthalmic suspension) is contraindicated in epithelial herpes simplex keratitis (dendritic keratitis), vaccinia,varicella, and most other viral diseases of the cornea and conjunctiva; mycobacterial infection of the eye;fungaldiseases of the eye; acute purulent untreated infections which, like other diseases caused by microorganisms, may be masked or enhanced by the presence of thesteroid; and in those persons with hypersensitivity to any component of the formulation.",epithelial herpes simplex keratitis
riluzole,riluzole is contraindicated in patients with a history of severe hypersensitivity reactions to riluzole or to any of its components (anaphylaxis has occurred),severe hypersensitivity reactions
rifaximin,"contraindicated in patients with a hypersensitivity to rifaximin or to any of the rifamycin antimicrobial agents, or any components of this product",rifamycin antimicrobial agents
rifampicin + isoniazid + pyrazinamide + ethambutol,"hypersensitivity to rifampicin, isoniazid, pyrazinamide or ethambutol. isoniazid : previous isoniazid-associated hepatic injury; severe adverse reactions to isoniazid eg, fever, chills and arthritis; acute liver disease of any etiology, a history of previous hypersensitivity reaction to isoniazid including drug-induced hepatitis.",acute liver disease of any etiology
rifampicin + isoniazid + pyrazinamide,"known or suspected hypersensitivity to rifamycins and/or to isoniazid and to pyrazinamide and/or to any of the excipients including a history of drug-induced hepatitis, acute liver diseases regardless of their origin, and peripheral neuritis.","acute liver diseases regardless of their origin, and peripheral neuritis"
rifampicin + isoniazid,"known or suspected hypersensitivity to rifamycins and/or to inh, and/or to any of the excipients including a history of drug-induced hepatitis; acute liver diseases, regardless of their origin; peripheral neuritis.",acute liver diseases
rifampicin,"rifampicin is contraindicated in patients with a history of hypersensitivity to rifampin or any of the components, or to any of the rifamycins. rifampin is contraindicated in patients who are also receiving ritonavir-boosted saquinavir due to an increased risk of severe hepatocellular toxicity. rifampin is contraindicated in patients who are also receiving atazanavir, darunavir, fosamprenavir, saquinavir, or tipranavir due to the potential of rifampin to substantially decrease plasma concentrations of these antiviraldrugs, which may result in loss of antiviral efficacy and/or development of viral resistance.",increased risk of severe hepatocellular toxicity
riboflavin,hypersensitivity to riboflavin.,hypersensitivity to riboflavin
salmeterol + fluticasone propionate,this is contraindicated in patients with a history of hypersensitivity to any of the ingredients.,hypersensitivity to any of the ingredients
salicylic acid + lactic acid,"not for prolonged use in high concentrations and on large areas of the body. impaired peripheral circulation or diabetes. avoid broken skin, mouth, eyes, mucous membranes and anogenital region.",impaired peripheral circulation or diabetes
salicylic acid,it should not be used in any patient known to be sensitive to salicylic acid or any other listed ingredients.,sensitive to salicylic acid or any other listed ingredients
salbutamol + ipratropium (solution for inhalation),"this is contraindicated in patients with hypertrophic obstructive tachyarrhythmia and in patients with a history of hypersensitivity to atropine or its derivatives, or to any other component of the product.",hypersensitivity to atropine or its derivatives
salbutamol + ipratropium (inhaler),this inhalation aerosol is contraindicated in patients with a history of hypersensitivity to soya-lecithin or related food products such as soybean and peanut. this inhalation aerosol is also contraindicated in patients hypersensitive to any other components of the drug product or to atropine or its derivatives.,hypersensitivity to soya-lecithin or related food products
salbutamol (inhaler),salbutamol inhaler is contraindicated in patients with a history of hypersensitivity to salbutamol or any other components of salbutamol inhaler.,history of hypersensitivity to salbutamol
salbutamol,no data available,no data available
sacubitril + valsartan,this combination is contraindicated: in patients with hypersensitivity to any component in patients with a history ofangioedemarelated to previous ace inhibitor or arb therapy with concomitant use of ace inhibitors. do not administer within 36 hours of switching from or to an ace inhibitor with concomitant use of aliskiren in patients withdiabetes,in patients with hypersensitivity to any component
saccharin sodium,no data available,no data available
s-amlodipine besilate (levamlodipine),s-amlodipine is contraindicated in patients with known sensitivity to amlodipine.,known sensitivity to amlodipine
ruxolitinib,it is contraindicated in patients with a history of hypersensitivity to ruxolitinib or any other components of this product.,hypersensitivity to ruxolitinib
rupatadine fumarate,hypersensitivity to rupatadine or to any of the excipients.,hypersensitivity
roxithromycin,roxithromycin should not be administered simultaneously with ergotamine or its derivatives as it may provoke arterial spasm and severe ischaemia.,arterial spasm and severe ischaemia
roxatidine,"lactation, porphyria","lactation, porphyria"
roxadustat,no data available,no data available
rotavirus vaccine,"subjects with history of intussusception. subjects with severe combined immunodeficiency (scid) disorder the presence of a minor infection, such as a cold, is not a contraindication for immunisation.",the presence of a minor infection
rosuvastatin,"rosuvastatin is contraindicated if- known hypersensitivity to product components liver disease, which may include unexplained persistent elevations in hepatic transaminase levels pregnant women and women who may become pregnant nursing mothers",if- known hypersensitivity to product components liver disease
rosiglitazone + metformin hydrochloride,"combination of rosiglitazone and metformin tablets are contraindicated in patients with: renal disease or renal dysfunction which may also result from conditions such as cardiovascular collapse (shock), acute myocardial infarction, and septicemia congestive heart failure requiring pharmacologic treatment. known hypersensitivity to rosiglitazone maleate or metformin hydrochloride. acute or chronic metabolic acidosis, including diabetic ketoacidosis, with or without coma. diabetic ketoacidosis should be treated with insulin. combination of rosiglitazone and metformin should be temporarily discontinued in patients undergoing radiologic studies involving intravascular administration of iodinated contrast materials, because use of such products may result in acute alteration of renal function.",renal disease or renal dysfunction
ropinirole,it is contraindicated in patients known to have a hypersensitivity to ropinirole.,hypersensitivity to ropinirole
sildenafil citrate,"sildenafil is contraindicated in patient with hypersensitivity to any component of this medication. sildenafil potentiates the hypotensive effects of nitrates, so it is contraindicated in patients who are using organic nitrates, either regularly or intermittently.",either regularly or intermittently
sevoflurane,sevoflurane can cause malignant hyperthermia. it should not be used in patients with known sensitivity to sevoflurane or to other halogenated agents nor in patients with known or suspected susceptibility to malignant hyperthermia.,known sensitivity to sevoflurane or to other halogenated agents
sevelamer hydrochloride,sevelamer is contraindicated in patients with hypophosphatemia or bowel obstruction and in patients with known hypersensitivity to sevelamer hydrochloride or any of its constituents.,hypophosphatemia or bowel obstruction
sevelamer carbonate,"sevelamer carbonate is contraindicated in patients with bowel obstruction. sevelamer carbonate is contraindicated in patients with known hypersensitivity to sevelamer carbonate, sevelamer hydrochloride, or to any of the excipients.",hypersensitivity
sesame oil + cactus extract + beeswax,no data available,no data available
sertraline hydrochloride,sertraline is contraindicated in patients with a known hypersensitivity to sertraline or any of the excipients of drug. in patients with moderate to severe hepatic impairment is not recommended.,hypersensitivity to sertraline
sertaconazole nitrate,sertaconazole cream is contraindicated in patients who have a known or suspected hypersensitivity to sertaconazole nitrate or any of its components or other imidazoles.,patients who have a known or suspected hypersensitivity
sennosides,"nausea or vomiting, undiagnosed abdominal pain, intestinal obstruction.","nausea or vomiting, undiagnosed abdominal pain, intestinal obstruction."
semaglutide (tablet),personal or family history of medullary thyroid carcinoma or in patients with multiple endocrine neoplasia syndrome type 2. known hypersensitivity to semaglutide or any of the components in this preparation.,known hypersensitivity to semaglutide
semaglutide (injection),semaglutide is contraindicated in patients with: a personal or family history of medullary thyroid carcinoma (mtc) or in patients with multiple endocrine neoplasia syndrome type 2 (men 2). known hypersensitivity to semaglutide or to any of the components in semaglutide.,personal or family history of medullary thyroid carcinoma
selexipag,no data available,no data available
selegiline hydrochloride,selegiline is contraindicated in patients with a known hypersensitivity to this drug. selegiline is contraindicated for use with meperidine. this contraindication is often extended to other opioids.,meperidine
secukinumab,serious hypersensitivity reaction to secukinumab or to any of the excipients.,secukinumab or to any of the excipients
secnidazole,secnidazole is contra-indicated for those patients who are hypersensitive to imidazole derivatives.,hypersensitive to imidazole derivatives
saxagliptin,"type 1 diabetes, diabetic ketoacidosis.","type 1 diabetes, diabetic ketoacidosis."
saquinavir mesylate,"patients with congenital or documented acquired qt prolongation, patients with refractory hypokalemia or hypomagnesemia, or those on concomitant therapy with other drugs that prolong the qt interval. saquinavir is contraindicated in patients with complete atrioventricular (av) block without implanted pacemakers, or patients who are at high risk of complete av block. saquinavir is contraindicated in patients with clinically significant hypersensitivity (e.g., anaphylactic reaction, stevens-johnson syndrome) to saquinavir, saquinavir mesylate, or any of its ingredients saquinavir when administered with ritonavir is contraindicated in patients with severe hepatic impairment. coadministration of saquinavir/ritonavir with cyp3a substrates for which increased plasma levels may result in serious or life-threatening reactions. coadministration of saquinavir/ritonavir with rifampin due to the risk of severe hepatotoxicity.",patients with clinically significant hypersensitivity
salvia officinalis,hypersensitivity to the active substance or to any of the excipients.,hypersensitivity
salsalate,"haemophilia, haemorrhagic disorders, gout, hypersensitivity to aspirin or nsaids. children &lt;12 yr. pregnancy (3rd trimester) and lactation. severe renal or hepatic impairment.",hypersensitivity to aspirin or nsaids
salmon calcitonin,hypersensitivity. patients with hypocalcaemia.,hypersensitivity
salmeterol xinafoate,"monotherapy in the treatment of asthma. treatment of status asthmaticus, other acute episodes of asthma or copd.","treatment of status asthmaticus, other acute episodes of asthma or copd"
sodium dichloroisocyanurate,"do not use with other products. it may release dangerous gases (chlorine). it may react violently with many substances, causing fire and explosion hazard.",do not use with other products
sodium cromoglicate + xylometazoline hydrochloride,contraindicated in patients with a known hypersensitivity to any ingredients of the preparation.,hypersensitivity to any ingredients of the preparation
sodium cromoglicate [4%],this drop is contraindicated in patient with hypersensitivity to sodium cromoglicate .,hypersensitivity to sodium cromoglicate
sodium cromoglicate [2%],sodium cromoglycate 2% eye drops is contraindicated in individuals who have shown hypersensitivity to the drug or any of the ingredients.,hypersensitivity to the drug or any of the ingredients
sodium chloride + potassium chloride + sodium acetate,no data available,no data available
sodium chloride + dextrose,do not take this medicine and tell your doctor if: solutions containing dextrose may be contraindicated in patients with known allergy to corn or corn products.,known allergy to corn or corn products
sodium chloride (tablet),"sodium chloride is contra-indicated in any situation where salt retention is undesirable, such as edema, heart disease, cardiac decompensation and primary or secondary aldosteronism; or where therapy is being given to produce salt and water loss.",salt retention is undesirable
sodium chloride (ophthalmic solution),it is contraindicated in individuals with known hypersensitivity to any of the ingredients of this preparation.,hypersensitivity to any of the ingredients
sodium chloride (nasal preparation),do not share this medication with others. doing so may increase the risk of infection.,do not share this medication with others
sodium chloride (intravenous solution),no data available,no data available
sodium bicarbonate,"this drug is contraindicated in hypoventilatory states, chloride depletion owing to continuous gastric fluid loss, metabolic and/or respiratory alkalosis, hypocalcemia and diuretics known to produce hypochloremic alkalosis.",chloride depletion owing to continuous gastric fluid loss
sodium alginate + sodium bicarbonate + calcium carbonate,this product is contraindicated in patients with known or suspected hypersensitivity to the active ingredients or to any of the excipients.,active ingredients or to any of the excipients
sodium alginate + potassium bicarbonate,sodium alginate and potassium bicarbonate is contraindicated in patients with known hypersensitivity to these.,sodium alginate and potassium bicarbonate
snake venom antiserum,"there are no known contraindications for the administration of snake venom antiserum. proper precautions are necessary while dealing with persons with a known hypersensitivity to constituents of product. few doctors prefer to premedicate patients with inj. adrenaline 0.25 ml s/c to prevent possibility of adverse reactions. in haemotoxic bites, im injections should be avoided till correction of coagulopathy to avoid formation of haematoma and oozing of blood. in patients having tourniquet, it should be released slowly only after start of snake venom antiserum administration.",no known contraindications
sitagliptin + metformin hydrochloride,"this tablet is contraindicated in patients with: renal disease or renal dysfunction, e.g., as suggested by serum creatinine levels 1.5 mg/dl [males], 1.4 mg/dl [females] or abnormal creatinine clearance which may also result from conditions such as cardiovascular collapse (shock), acute myocardial infarction, and septicemia acute or chronic metabolic acidosis, including diabetic ketoacidosis, with or without coma. history of a serious hypersensitivity reaction to this tablet or sitagliptin, such as anaphylaxis or angioedema. this tablet should be temporarily discontinued in patients undergoing radiologic studies involving intravascular administration of iodinated contrast materials, because use of such products may result in acute alteration of renal function.",renal disease or renal dysfunction
sitagliptin,"history of a serious hypersensitivity reaction to sitagliptin, such as anaphylaxis or angioedema.",history of a serious hypersensitivity reaction to sitagliptin
simvastatin,simvastatin should not be used in- active liver disease pregnant and breast feeding mother women of child bearing age unless they have been adequately protected by contraception hypersensitivity to any component of the preparation patients with the homozygous familial hypercholesterolemia who have a complete absence of ldl receptors,hypersensitivity to any component of the preparation
simethicone,no data available,no data available
silver sulfadiazine,"it is contraindicated in-patients who are hypersensitive to it or any of the other ingredients in the preparation. it should not be used on pregnant women approaching or at term, on premature infants, or on newborn infants during the first 2 months of life",hypersensitive to it or any of the other ingredients in the preparation
silodosin,"patients with severe renal &amp; hepatic impairment, concomitant administration with strong cytochrome p450 3a4 (cyp3a4) inhibitors (e.g., ketoconazole, clarithromycin, itraconazole, ritonavir) and patients with a history of hypersensitivity to silodosin.",patients with a history of hypersensitivity to silodosin
somatostatin,somatostatin is contra-indicated: during pregnancy and the immediate post-partum period (puerperium) as well as during lactation. there is no evidence of the drugs safety in human pregnancy nor is there evidence from animal work that it is free from hazard. in states of proven hypersensitivity to somatostatin.,during pregnancy and the immediate post-partum period
solifenacin succinate,"solifenacin is contraindicated in patients with hypersensitivity to solifenacin or to any of the excipients. it is also contraindicated in myasthenia gravis, urinary retention, uncontrolled narrow angle glaucoma, severe gastro-intestinal condition (including toxic megacolon), patients undergoing haemodialysis, patients with severe hepatic impairment, patients with severe renal impairment or moderate hepatic impairment and on treatment with a strong cyp3a4 inhibitor, e.g. ketoconazole.","myasthenia gravis, urinary retention"
sofosbuvir + velpatasvir,"sofosbuvir, velpatasvir and ribavirin combination regimen is contraindicated in patients for whom ribavirin is contraindicated.","sofosbuvir, velpatasvir and ribavirin"
sofosbuvir,"when sofosbivur is used in combination with ribavirin or peginterferon alfa/ ribavirin, the contraindications applicable to those agents are applicable to combination therapies. sofosbuvir combination treatment with ribavirin or peginterferon alfa/ribavirin is contraindicated in women who are pregnant or may become pregnant and men whose female partners are pregnant, because of the risks for birth defects and fetal death associated with ribavirin.",applicable to combination therapies
sodium valproate,sodium valproate is contraindicated to patients who have known hypersensitivity to the drug and liver dysfunction. use of sodium valproate is restricted during pregnancy and in women of childbearing potential.,hypersensitivity to the drug and liver dysfunction
sodium thiosulfate,no data available,no data available
sodium succinate + cytochrome c + adenosine + nicotinamide,this eye drops is contraindicated in patients with known hypersensitivity to any ingredient of the product.,known hypersensitivity to any ingredient of the product
sodium stibogluconate,"hypersensitivity, significant renal impairment, breast feeding","hypersensitivity, significant renal impairment, breast feeding"
sodium polystyrene sulfonate,"sodium polystyrene sulfonate is contraindicated in the following conditions: patients with hypokalemia, patients with a history of hypersensitivity to polystyrene sulfonate resins, obstructive bowel disease, neonates with reduced gut motility (postoperatively or drug induced) and oral administration in neonates.",patients with hypokalemia
sodium picosulfate + magnesium oxide + citric acid,this solution is contraindicated in the following conditions: patients with severely reduced renal function (creatinine clearance less than 30 ml/minute) which may result in accumulation of magnesium. gastrointestinal obstruction or ileus. bowel perforation toxic colitis or toxic megacolon gastric retention an allergy to any of the ingredients in this solution.,patients with severely reduced renal function
